,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Shots,OutOfBox,SixYardBox,PenaltyArea,Rating
21,Lionel Messi,2009/2010,Barcelona,Spain-La-Liga,SLL,35,2841,163,61,10,92,8.67
22,Lionel Messi,2009/2010,Barcelona,Europe-UEFA-Champions-League,UCL,10,897,49,26,-,23,8.44
23,Kamil Wilczek,2015/2016,Carpi,Italy-Serie-A,ISA,3,116,5,2,-,3,6.34
24,Mats Hummels,2017/2018,Bayern Munich,Germany-Bundesliga,GB,26,2213,27,1,-,26,7.27
25,Mats Hummels,2017/2018,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,679,19,2,1,16,7.18
26,Mats Hummels,2016/2017,Bayern Munich,Germany-Bundesliga,GB,27,2181,31,1,1,29,7.32
27,Mats Hummels,2016/2017,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,651,5,1,1,3,7.09
28,Mats Hummels,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,30,2496,11,1,5,5,7.34
29,Mats Hummels,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,10,829,4,2,1,1,7.45
30,Mats Hummels,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,24,2032,22,1,3,18,7.6
31,Mats Hummels,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,4,257,1,-,-,1,6.81
32,Mats Hummels,2016,Germany,International-European-Championship,UEC,4,360,3,-,-,3,7.32
33,Mats Hummels,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,496,5,-,-,5,7.62
34,Mats Hummels,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,23,1962,21,3,6,12,7.71
35,Mats Hummels,2014,Germany,International-FIFA-World-Cup,WC,6,479,3,-,-,3,7.77
36,Mats Hummels,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,28,2376,29,3,6,20,7.4
37,Mats Hummels,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,11,889,5,2,-,3,7.31
38,Mats Hummels,2012,Germany,International-European-Championship,UEC,5,450,5,1,-,4,7.42
39,Mats Hummels,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,33,2950,23,3,1,19,7.57
40,Mats Hummels,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,540,2,-,-,2,7.01
41,Mats Hummels,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,32,2835,39,1,5,34,7.25
42,Mats Hummels,2009/2010,Borussia Dort..,Germany-Bundesliga,GB,30,2522,32,8,8,16,7.35
43,Ahmed Akaïchi,2015,Tunisia,International-Africa-Cup-of-Nations,ACoN,4,321,9,1,2,6,6.95
44,Konstantin Rausch,2017/2018,FC Cologne,Germany-Bundesliga,GB,12,930,12,10,-,2,6.58
45,Konstantin Rausch,2017/2018,FC Cologne,Europe-UEFA-Europa-League,UEL,6,502,5,5,-,-,6.4
46,Konstantin Rausch,2017/2018,Dinamo Moscow,Russia-Premier-League,RPL,10,839,11,7,-,4,6.37
47,Konstantin Rausch,2016/2017,FC Cologne,Germany-Bundesliga,GB,28,1937,25,17,-,8,6.72
48,Konstantin Rausch,2015/2016,Darmstadt,Germany-Bundesliga,GB,31,2129,40,30,2,8,6.61
