,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Shots,OutOfBox,SixYardBox,PenaltyArea,Rating
1018,Vladimir Gabulov,2012/2013,Anzhi Makhach..,Europe-UEFA-Europa-League,UEL,9,810,-,-,-,-,6.86
1019,Vladimir Gabulov,2011/2012,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,7.45
1020,Yuri Zhirkov,2017/2018,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,4,216,-,-,-,-,6.65
1021,Yuri Zhirkov,2017/2018,Zenit St. Pet..,Russia-Premier-League,RPL,17,964,12,5,1,6,6.62
1022,Yuri Zhirkov,2016/2017,Zenit St. Pet..,Russia-Premier-League,RPL,21,1687,17,8,-,9,7.04
1023,Yuri Zhirkov,2016/2017,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,6,436,3,2,-,1,6.79
1024,Yuri Zhirkov,2015/2016,Zenit St. Pet..,Russia-Premier-League,RPL,9,616,2,2,-,-,6.83
1025,Yuri Zhirkov,2015/2016,Dinamo Moscow,Russia-Premier-League,RPL,16,1359,23,14,1,8,6.8
1026,Yuri Zhirkov,2015/2016,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,2,99,1,1,-,-,6.64
1027,Yuri Zhirkov,2014/2015,Dinamo Moscow,Europe-UEFA-Europa-League,UEL,8,438,7,3,-,4,6.87
1028,Yuri Zhirkov,2014/2015,Dinamo Moscow,Russia-Premier-League,RPL,24,1915,22,9,-,13,6.84
1029,Yuri Zhirkov,2013/2014,Dinamo Moscow,Russia-Premier-League,RPL,13,757,13,7,1,5,7.09
1030,Yuri Zhirkov,2014,Russia,International-FIFA-World-Cup,WC,1,71,1,1,-,-,5.84
1031,Yuri Zhirkov,2012/2013,Anzhi Makhach..,Europe-UEFA-Europa-League,UEL,8,703,6,3,-,3,7.33
1032,Yuri Zhirkov,2012,Russia,International-European-Championship,UEC,3,270,4,2,-,2,7.06
1033,Yuri Zhirkov,2010/2011,Chelsea,Europe-UEFA-Champions-League,UCL,7,493,4,1,1,2,7.41
1034,Yuri Zhirkov,2010/2011,Chelsea,England-Premier-League,EPL,12,606,10,5,-,5,6.77
1035,Yuri Zhirkov,2009/2010,Chelsea,Europe-UEFA-Champions-League,UCL,4,272,1,-,-,1,7.01
1036,Yuri Zhirkov,2009/2010,Chelsea,England-Premier-League,EPL,17,954,4,1,-,3,7.04
1037,Pejman Montazeri,2014,Iran,,WC,3,270,-,-,-,-,6.58
1038,Masoud Shojaei,2017/2018,AEK Athens,Europe-UEFA-Europa-League,UEL,1,90,2,-,1,1,7.02
1039,Masoud Shojaei,2014,Iran,International-FIFA-World-Cup,WC,3,124,1,-,-,1,6.34
1040,Masoud Shojaei,2012/2013,Osasuna,Spain-La-Liga,SLL,14,375,12,4,-,8,6.27
1041,Masoud Shojaei,2010/2011,Osasuna,Spain-La-Liga,SLL,18,1202,31,12,-,19,7.12
1042,Masoud Shojaei,2009/2010,Osasuna,Spain-La-Liga,SLL,36,1674,36,12,3,21,6.51
1045,Hannes Þór Halldórsson,2016,Bodoe/Glimt,Norway-Eliteserien,NE,14,1260,-,-,-,-,6.82
1046,Hannes Þór Halldórsson,2015/2016,NEC Nijmegen,Netherlands-Eredivisie,NE,8,720,-,-,-,-,6.89
1047,Hannes Þór Halldórsson,2016,Iceland,International-European-Championship,UEC,5,450,-,-,-,-,6.56
1049,Makoto Hasebe,2017/2018,Eintracht Fra..,Germany-Bundesliga,GB,24,2090,2,2,-,-,6.57
1050,Makoto Hasebe,2016/2017,Eintracht Fra..,Germany-Bundesliga,GB,22,1887,8,4,-,4,6.97
1051,Makoto Hasebe,2015/2016,Eintracht Fra..,Germany-Bundesliga,GB,32,2674,7,7,-,-,6.72
1052,Makoto Hasebe,2014/2015,Eintracht Fra..,Germany-Bundesliga,GB,33,2853,3,3,-,-,7.06
1053,Makoto Hasebe,2013/2014,Wolfsburg,Germany-Bundesliga,GB,1,7,-,-,-,-,5.76
1054,Makoto Hasebe,2013/2014,Nuernberg,Germany-Bundesliga,GB,14,1260,11,9,-,2,7.04
1055,Makoto Hasebe,2014,Japan,International-FIFA-World-Cup,WC,3,190,2,1,-,1,6.71
1056,Makoto Hasebe,2013,Japan,International-Confederations-Cup,ICC,2,180,3,2,-,1,6.63
1057,Makoto Hasebe,2012/2013,Wolfsburg,Germany-Bundesliga,GB,23,1738,10,4,3,3,6.7
1058,Makoto Hasebe,2011/2012,Wolfsburg,Germany-Bundesliga,GB,23,1754,4,2,-,2,6.84
1059,Makoto Hasebe,2010/2011,Wolfsburg,Germany-Bundesliga,GB,23,1650,9,4,1,4,6.67
1060,Makoto Hasebe,2009/2010,Wolfsburg,Germany-Bundesliga,GB,24,1592,11,5,1,5,6.79
1061,Makoto Hasebe,2009/2010,Wolfsburg,Europe-UEFA-Champions-League,UCL,6,351,2,2,-,-,6.6
1062,Aleksandr Samedov,2017/2018,Spartak Mosco..,Europe-UEFA-Champions-League,UCL,4,192,3,1,1,1,6.4
1063,Aleksandr Samedov,2017/2018,Spartak Mosco..,Russia-Premier-League,RPL,21,1468,27,11,2,14,6.56
1064,Aleksandr Samedov,2016/2017,Lokomotiv Mos..,Russia-Premier-League,RPL,15,1184,25,13,-,12,6.92
1065,Aleksandr Samedov,2016/2017,Spartak Mosco..,Russia-Premier-League,RPL,10,651,14,3,-,11,6.54
1066,Aleksandr Samedov,2015/2016,Lokomotiv Mos..,Russia-Premier-League,RPL,28,2520,49,26,1,22,7.28
1067,Aleksandr Samedov,2015/2016,Lokomotiv Mos..,Europe-UEFA-Europa-League,UEL,8,720,20,9,3,8,7.44
1068,Aleksandr Samedov,2014/2015,Lokomotiv Mos..,Russia-Premier-League,RPL,29,2516,47,24,3,20,6.98
1069,Aleksandr Samedov,2016,Russia,International-European-Championship,UEC,1,20,-,-,-,-,6.29
1070,Aleksandr Samedov,2013/2014,Lokomotiv Mos..,Russia-Premier-League,RPL,30,2517,54,31,1,22,7.07
1071,Aleksandr Samedov,2014,Russia,International-FIFA-World-Cup,WC,3,270,3,-,1,2,6.6
1072,Teófilo Gutiérrez,2016/2017,Rosario Centr..,Argentina-Primera-División,APD,21,1594,39,8,1,30,6.64
1073,Teófilo Gutiérrez,2015/2016,Sporting CP,Europe-UEFA-Europa-League,UEL,5,313,11,3,-,8,6.5
1074,Teófilo Gutiérrez,2015,Colombia,International-Copa-America,ICA,4,208,5,1,-,4,6.12
1075,Teófilo Gutiérrez,2014,Colombia,International-FIFA-World-Cup,WC,4,305,5,2,1,2,6.85
1076,Karim El Ahmadi,2017/2018,Feyenoord,Europe-UEFA-Champions-League,UCL,4,360,1,1,-,-,6.06
1079,Steve Mandanda,2017/2018,Marseille,Europe-UEFA-Europa-League,UEL,7,630,-,-,-,-,6.26
1080,Steve Mandanda,2017/2018,Marseille,France-Ligue-1,FL1,31,2682,-,-,-,-,6.66
1081,Steve Mandanda,2016/2017,Crystal Palac..,England-Premier-League,EPL,9,810,-,-,-,-,6.26
1082,Steve Mandanda,2015/2016,Marseille,Europe-UEFA-Europa-League,UEL,8,720,-,-,-,-,6.58
1083,Steve Mandanda,2015/2016,Marseille,France-Ligue-1,FL1,36,3240,-,-,-,-,6.65
1084,Steve Mandanda,2014/2015,Marseille,France-Ligue-1,FL1,38,3420,-,-,-,-,6.76
1085,Steve Mandanda,2013/2014,Marseille,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.53
1086,Steve Mandanda,2013/2014,Marseille,France-Ligue-1,FL1,38,3354,-,-,-,-,6.76
1087,Steve Mandanda,2012/2013,Marseille,Europe-UEFA-Europa-League,UEL,5,450,-,-,-,-,6.13
1088,Steve Mandanda,2012/2013,Marseille,France-Ligue-1,FL1,38,3420,-,-,-,-,6.84
1089,Steve Mandanda,2011/2012,Marseille,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,7.41
1090,Steve Mandanda,2011/2012,Marseille,France-Ligue-1,FL1,38,3420,-,-,-,-,7.0
1091,Steve Mandanda,2010/2011,Marseille,Europe-UEFA-Champions-League,UCL,8,720,-,-,-,-,6.87
1092,Steve Mandanda,2010/2011,Marseille,France-Ligue-1,FL1,38,3420,-,-,-,-,6.72
1093,Steve Mandanda,2009/2010,Marseille,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.46
1094,Steve Mandanda,2009/2010,Marseille,France-Ligue-1,FL1,36,3177,-,-,-,1,6.66
1095,Emil Hallfreðsson,2017/2018,Udinese,Italy-Serie-A,ISA,19,761,2,2,-,-,6.39
1096,Emil Hallfreðsson,2016/2017,Udinese,Italy-Serie-A,ISA,28,1990,19,14,-,5,6.77
1097,Emil Hallfreðsson,2015/2016,Verona,Italy-Serie-A,ISA,16,1220,14,11,-,3,6.74
1098,Emil Hallfreðsson,2015/2016,Udinese,Italy-Serie-A,ISA,11,661,5,4,-,1,6.46
1099,Emil Hallfreðsson,2014/2015,Verona,Italy-Serie-A,ISA,28,2114,24,19,-,5,6.96
1100,Emil Hallfreðsson,2016,Iceland,International-European-Championship,UEC,1,24,-,-,-,-,5.9
1101,Emil Hallfreðsson,2013/2014,Verona,Italy-Serie-A,ISA,33,2469,35,31,-,4,7.04
1102,Miranda,2016/2017,Inter,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,6.63
1103,Thiago Silva,2017/2018,Paris Saint G..,Europe-UEFA-Champions-League,UCL,6,522,2,-,-,2,7.01
1104,Thiago Silva,2017/2018,Paris Saint G..,France-Ligue-1,FL1,25,2117,11,1,2,8,7.08
1105,Thiago Silva,2016/2017,Paris Saint G..,Europe-UEFA-Champions-League,UCL,7,586,6,-,4,2,6.88
1106,Thiago Silva,2016/2017,Paris Saint G..,France-Ligue-1,FL1,27,2386,22,1,8,13,7.38
1107,Thiago Silva,2015/2016,Paris Saint G..,Europe-UEFA-Champions-League,UCL,9,810,3,-,-,3,7.42
1108,Thiago Silva,2015/2016,Paris Saint G..,France-Ligue-1,FL1,30,2622,15,-,3,12,7.65
1109,Thiago Silva,2015,Brazil,International-Copa-America,ICA,3,270,3,-,-,3,7.46
1110,Thiago Silva,2014/2015,Paris Saint G..,Europe-UEFA-Champions-League,UCL,6,471,-,-,-,-,6.79
1111,Thiago Silva,2014/2015,Paris Saint G..,France-Ligue-1,FL1,26,2309,11,-,2,9,7.53
1112,Thiago Silva,2013/2014,Paris Saint G..,Europe-UEFA-Champions-League,UCL,7,568,1,-,-,1,7.12
1113,Thiago Silva,2013/2014,Paris Saint G..,France-Ligue-1,FL1,28,2386,24,2,2,20,7.42
1114,Thiago Silva,2014,Brazil,International-FIFA-World-Cup,WC,6,540,2,-,2,-,7.11
1115,Thiago Silva,2013,Brazil,International-Confederations-Cup,ICC,5,450,3,2,-,1,6.8
1116,Thiago Silva,2012/2013,Paris Saint G..,Europe-UEFA-Champions-League,UCL,9,801,6,-,1,5,7.57
1117,Thiago Silva,2012/2013,Paris Saint G..,France-Ligue-1,FL1,22,1900,13,4,-,9,7.39
1118,Thiago Silva,2011/2012,AC Milan,Italy-Serie-A,ISA,27,2296,18,10,-,8,7.46
1119,Thiago Silva,2011/2012,AC Milan,Europe-UEFA-Champions-League,UCL,7,590,4,1,-,3,7.19
1120,Thiago Silva,2010/2011,AC Milan,Italy-Serie-A,ISA,33,2898,21,13,2,6,7.48
1121,Thiago Silva,2010/2011,AC Milan,Europe-UEFA-Champions-League,UCL,6,540,2,1,-,1,7.42
1122,Thiago Silva,2009/2010,AC Milan,Italy-Serie-A,ISA,33,2921,14,6,2,7,7.44
1123,Thiago Silva,2009/2010,AC Milan,Europe-UEFA-Champions-League,UCL,7,561,5,1,-,4,7.1
1125,Fernandinho,2015,Brazil,International-Copa-America,ICA,4,360,-,-,-,-,6.98
1127,Fernandinho,2010/2011,Shakhtar Done..,Europe-UEFA-Champions-League,UCL,2,36,-,-,-,-,5.9
1128,Andreas Granqvist,2017/2018,FC Krasnodar,Russia-Premier-League,RPL,29,2610,9,-,-,9,7.16
1129,Andreas Granqvist,2016/2017,FC Krasnodar,Russia-Premier-League,RPL,29,2610,7,-,-,7,7.12
1130,Andreas Granqvist,2016/2017,FC Krasnodar,Europe-UEFA-Europa-League,UEL,9,781,1,-,-,1,6.74
1131,Andreas Granqvist,2015/2016,FC Krasnodar,Russia-Premier-League,RPL,29,2533,8,-,2,6,7.3
1132,Andreas Granqvist,2015/2016,FC Krasnodar,Europe-UEFA-Europa-League,UEL,8,720,1,-,-,1,7.23
1133,Andreas Granqvist,2014/2015,FC Krasnodar,Europe-UEFA-Europa-League,UEL,5,450,3,-,-,3,6.9
1134,Andreas Granqvist,2014/2015,FC Krasnodar,Russia-Premier-League,RPL,27,2430,7,-,-,7,7.28
1135,Andreas Granqvist,2016,Sweden,International-European-Championship,UEC,3,270,1,-,-,1,7.31
1136,Andreas Granqvist,2013/2014,FC Krasnodar,Russia-Premier-League,RPL,20,1714,4,-,1,3,7.18
1137,Andreas Granqvist,2012/2013,Genoa,Italy-Serie-A,ISA,35,2951,10,-,1,9,7.1
1138,Andreas Granqvist,2012,Sweden,International-European-Championship,UEC,3,247,-,-,-,-,6.25
1139,Andreas Granqvist,2011/2012,Genoa,Italy-Serie-A,ISA,28,2344,6,-,1,6,7.03
1140,Sebastian Larsson,2017/2018,Hull,England-Championship,EC,40,3246,35,31,-,4,6.7
1141,Sebastian Larsson,2016/2017,Sunderland,England-Premier-League,EPL,21,1471,16,14,-,2,6.46
1142,Sebastian Larsson,2015/2016,Sunderland,England-Premier-League,EPL,18,548,7,5,-,2,6.29
1143,Sebastian Larsson,2014/2015,Sunderland,England-Premier-League,EPL,36,3061,45,35,1,9,7.01
1144,Sebastian Larsson,2016,Sweden,International-European-Championship,UEC,3,250,1,1,-,-,6.53
1145,Sebastian Larsson,2013/2014,Sunderland,England-Premier-League,EPL,31,2220,33,25,1,7,6.72
1146,Sebastian Larsson,2012/2013,Sunderland,England-Premier-League,EPL,38,3001,30,24,-,6,6.82
1147,Sebastian Larsson,2012,Sweden,International-European-Championship,UEC,3,248,5,2,-,3,7.38
1148,Sebastian Larsson,2011/2012,Sunderland,England-Premier-League,EPL,32,2710,35,19,2,14,7.1
1149,Sebastian Larsson,2010/2011,Birmingham,England-Premier-League,EPL,35,2833,41,32,-,9,6.94
1150,Sebastian Larsson,2009/2010,Birmingham,England-Premier-League,EPL,33,2382,40,27,-,13,6.92
1151,Abel Aguilar,2014/2015,Toulouse,France-Ligue-1,FL1,21,1660,10,4,-,6,6.84
1152,Abel Aguilar,2013/2014,Toulouse,France-Ligue-1,FL1,28,2451,17,10,-,7,6.96
1153,Abel Aguilar,2014,Colombia,International-FIFA-World-Cup,WC,3,238,-,-,-,-,7.17
1154,Abel Aguilar,2012/2013,Deportivo La ..,Spain-La-Liga,SLL,28,2414,41,17,7,17,7.08
1155,Abel Aguilar,2010/2011,Hercules,Spain-La-Liga,SLL,34,2871,33,22,1,10,6.97
1156,Abel Aguilar,2009/2010,Real Zaragoza,Spain-La-Liga,SLL,27,1685,28,10,3,15,6.67
1157,Cristian Rodríguez,2016/2017,Independiente,Argentina-Primera-División,APD,9,521,13,7,-,6,6.46
1158,Cristian Rodríguez,2016,Independiente,Argentina-Primera-División,APD,9,490,13,5,1,7,6.65
1159,Cristian Rodríguez,2015,Uruguay,International-Copa-America,ICA,4,241,4,2,-,2,6.93
1160,Cristian Rodríguez,2014/2015,Parma,Italy-Serie-A,ISA,5,447,13,5,-,8,7.13
1161,Cristian Rodríguez,2014/2015,Atletico Madr..,Spain-La-Liga,SLL,6,63,1,-,-,1,6.16
1162,Cristian Rodríguez,2014/2015,Atletico Madr..,Europe-UEFA-Champions-League,UCL,2,32,-,-,-,-,6.35
1163,Cristian Rodríguez,2013/2014,Atletico Madr..,Spain-La-Liga,SLL,20,326,8,3,-,5,6.36
1164,Cristian Rodríguez,2013/2014,Atletico Madr..,Europe-UEFA-Champions-League,UCL,10,239,5,3,-,2,6.25
1165,Cristian Rodríguez,2014,Uruguay,International-FIFA-World-Cup,WC,4,334,4,1,-,3,6.87
1166,Cristian Rodríguez,2013,Uruguay,International-Confederations-Cup,ICC,4,326,4,3,-,1,6.7
1167,Cristian Rodríguez,2012/2013,Atletico Madr..,Spain-La-Liga,SLL,33,1329,39,19,1,19,6.6
1168,Cristian Rodríguez,2012/2013,Atletico Madr..,Europe-UEFA-Europa-League,UEL,6,460,19,14,-,5,7.49
1169,Cristian Rodríguez,2011/2012,FC Porto,Europe-UEFA-Champions-League,UCL,1,16,-,-,-,-,6.58
1170,Cristian Rodríguez,2009/2010,FC Porto,Europe-UEFA-Champions-League,UCL,6,429,14,5,-,9,7.34
1171,Keisuke Honda,2016/2017,AC Milan,Italy-Serie-A,ISA,8,220,4,4,-,-,6.52
1172,Keisuke Honda,2015/2016,AC Milan,Italy-Serie-A,ISA,30,1931,46,27,1,18,6.84
1173,Keisuke Honda,2014/2015,AC Milan,Italy-Serie-A,ISA,29,2166,43,21,1,21,7.01
1174,Keisuke Honda,2013/2014,AC Milan,Italy-Serie-A,ISA,14,983,29,15,-,14,6.88
1175,Keisuke Honda,2013/2014,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,476,13,8,1,4,7.21
1176,Keisuke Honda,2013/2014,CSKA Moscow,Russia-Premier-League,RPL,18,1530,28,19,2,7,6.91
1177,Keisuke Honda,2014,Japan,International-FIFA-World-Cup,WC,3,270,9,8,-,1,7.38
1178,Keisuke Honda,2013,Japan,International-Confederations-Cup,ICC,3,269,8,4,-,4,6.82
1179,Keisuke Honda,2011/2012,CSKA Moscow,Europe-UEFA-Champions-League,UCL,1,22,2,2,-,-,7.07
1180,Keisuke Honda,2009/2010,CSKA Moscow,Europe-UEFA-Champions-League,UCL,4,312,10,6,1,3,7.15
1181,Ashkan Dejagah,2017/2018,Nottingham Fo..,England-Championship,EC,1,14,-,-,-,-,5.88
1182,Ashkan Dejagah,2013/2014,Fulham,England-Premier-League,EPL,22,1301,22,7,1,14,6.76
1183,Ashkan Dejagah,2014,Iran,International-FIFA-World-Cup,WC,3,232,1,-,-,1,6.86
1184,Ashkan Dejagah,2012/2013,Wolfsburg,Germany-Bundesliga,GB,1,67,1,-,-,1,7.37
1185,Ashkan Dejagah,2012/2013,Fulham,England-Premier-League,EPL,21,1193,13,5,-,8,6.63
1186,Ashkan Dejagah,2011/2012,Wolfsburg,Germany-Bundesliga,GB,26,2003,41,16,2,23,7.1
1187,Ashkan Dejagah,2010/2011,Wolfsburg,Germany-Bundesliga,GB,23,1097,15,6,1,8,6.5
1188,Ashkan Dejagah,2009/2010,Wolfsburg,Germany-Bundesliga,GB,24,648,14,7,-,7,6.43
1189,Ashkan Dejagah,2009/2010,Wolfsburg,Europe-UEFA-Champions-League,UCL,3,62,-,-,-,-,6.2
1190,Sergio Ramos,2017/2018,Real Madrid,Spain-La-Liga,SLL,26,2292,28,3,6,19,7.09
1191,Sergio Ramos,2017/2018,Real Madrid,Europe-UEFA-Champions-League,UCL,11,990,16,1,2,13,7.1
1192,Sergio Ramos,2016/2017,Real Madrid,Spain-La-Liga,SLL,28,2489,35,4,7,24,7.1
1193,Sergio Ramos,2016/2017,Real Madrid,Europe-UEFA-Champions-League,UCL,11,971,11,1,2,8,7.16
1194,Sergio Ramos,2015/2016,Real Madrid,Spain-La-Liga,SLL,23,1946,19,2,-,17,7.15
1195,Sergio Ramos,2015/2016,Real Madrid,Europe-UEFA-Champions-League,UCL,10,869,7,-,1,6,7.55
1196,Sergio Ramos,2014/2015,Real Madrid,Spain-La-Liga,SLL,27,2254,28,2,3,23,7.42
1197,Sergio Ramos,2014/2015,Real Madrid,Europe-UEFA-Champions-League,UCL,8,696,7,1,-,6,7.25
1198,Sergio Ramos,2016,Spain,International-European-Championship,UEC,4,360,10,2,-,8,6.98
1199,Sergio Ramos,2013/2014,Real Madrid,Spain-La-Liga,SLL,32,2759,41,5,5,31,7.47
1200,Sergio Ramos,2013/2014,Real Madrid,Europe-UEFA-Champions-League,UCL,11,891,13,2,2,9,7.35
1201,Sergio Ramos,2014,Spain,International-FIFA-World-Cup,WC,3,270,7,3,-,4,7.34
1202,Sergio Ramos,2013,Spain,International-Confederations-Cup,ICC,5,408,9,2,-,7,6.97
1203,Sergio Ramos,2012/2013,Real Madrid,Spain-La-Liga,SLL,26,2268,37,6,4,27,7.45
1204,Sergio Ramos,2012/2013,Real Madrid,Europe-UEFA-Champions-League,UCL,9,810,13,3,1,10,7.42
1205,Sergio Ramos,2012,Spain,International-European-Championship,UEC,6,540,6,2,-,4,7.25
1206,Sergio Ramos,2011/2012,Real Madrid,Spain-La-Liga,SLL,34,3055,24,3,1,20,7.39
1207,Sergio Ramos,2011/2012,Real Madrid,Europe-UEFA-Champions-League,UCL,11,948,9,1,1,7,7.18
1208,Sergio Ramos,2010/2011,Real Madrid,Spain-La-Liga,SLL,31,2702,31,6,2,23,7.36
1209,Sergio Ramos,2010/2011,Real Madrid,Europe-UEFA-Champions-League,UCL,8,687,6,-,1,5,7.32
1210,Sergio Ramos,2009/2010,Real Madrid,Spain-La-Liga,SLL,33,2902,36,5,4,27,7.71
1211,Sergio Ramos,2009/2010,Real Madrid,Europe-UEFA-Champions-League,UCL,7,612,13,2,2,9,7.21
1215,Diego Godín,2017/2018,Atletico Madr..,Spain-La-Liga,SLL,30,2554,13,-,2,11,7.07
1216,Diego Godín,2017/2018,Atletico Madr..,Europe-UEFA-Europa-League,UEL,8,720,5,-,1,4,7.19
1217,Diego Godín,2017/2018,Atletico Madr..,Europe-UEFA-Champions-League,UCL,4,360,4,-,1,3,7.11
1218,Diego Godín,2016/2017,Atletico Madr..,Spain-La-Liga,SLL,31,2706,30,-,5,25,7.23
1219,Diego Godín,2016/2017,Atletico Madr..,Europe-UEFA-Champions-League,UCL,11,990,6,1,1,4,7.33
1220,Diego Godín,2015/2016,Atletico Madr..,Spain-La-Liga,SLL,31,2651,25,-,5,20,7.52
1221,Diego Godín,2015/2016,Atletico Madr..,Europe-UEFA-Champions-League,UCL,12,1079,10,-,-,10,7.52
1222,Diego Godín,2015,Uruguay,International-Copa-America,ICA,3,270,3,-,-,3,7.55
1223,Diego Godín,2014/2015,Atletico Madr..,Spain-La-Liga,SLL,34,3060,24,-,3,21,7.37
1224,Diego Godín,2014/2015,Atletico Madr..,Europe-UEFA-Champions-League,UCL,9,810,8,-,1,7,7.57
1225,Diego Godín,2013/2014,Atletico Madr..,Spain-La-Liga,SLL,34,3060,16,1,2,13,7.44
1226,Diego Godín,2013/2014,Atletico Madr..,Europe-UEFA-Champions-League,UCL,10,900,9,-,-,9,7.3
1227,Diego Godín,2014,Uruguay,International-FIFA-World-Cup,WC,4,360,2,-,-,2,7.43
1228,Diego Godín,2013,Uruguay,International-Confederations-Cup,ICC,4,360,-,-,-,-,6.74
1229,Diego Godín,2012/2013,Atletico Madr..,Spain-La-Liga,SLL,35,3107,31,-,2,29,7.33
1230,Diego Godín,2012/2013,Atletico Madr..,Europe-UEFA-Europa-League,UEL,1,90,-,-,-,-,8.01
1231,Diego Godín,2011/2012,Atletico Madr..,Spain-La-Liga,SLL,27,2256,23,-,3,21,6.85
1232,Diego Godín,2010/2011,Atletico Madr..,Spain-La-Liga,SLL,25,2243,13,-,6,7,7.08
1233,Diego Godín,2009/2010,Villarreal,Spain-La-Liga,SLL,36,3184,18,-,-,18,7.23
1236,Mark Milligan,2014,Australia,,WC,1,90,1,1,-,-,6.52
1237,Vincent Kompany,2017/2018,Manchester Ci..,Europe-UEFA-Champions-League,UCL,2,180,1,-,-,1,6.88
1238,Vincent Kompany,2017/2018,Manchester Ci..,England-Premier-League,EPL,17,1397,9,-,3,6,7.04
1239,Vincent Kompany,2016/2017,Manchester Ci..,England-Premier-League,EPL,11,823,9,2,-,7,7.18
1240,Vincent Kompany,2015/2016,Manchester Ci..,Europe-UEFA-Champions-League,UCL,7,363,-,-,-,-,6.82
1241,Vincent Kompany,2015/2016,Manchester Ci..,England-Premier-League,EPL,14,1179,11,1,1,9,7.28
1242,Vincent Kompany,2014/2015,Manchester Ci..,Europe-UEFA-Champions-League,UCL,7,630,3,1,-,2,6.87
1243,Vincent Kompany,2014/2015,Manchester Ci..,England-Premier-League,EPL,25,2034,6,-,-,6,6.86
1244,Vincent Kompany,2013/2014,Manchester Ci..,Europe-UEFA-Champions-League,UCL,4,360,1,-,1,-,7.32
1245,Vincent Kompany,2013/2014,Manchester Ci..,England-Premier-League,EPL,28,2365,18,1,3,14,7.18
1246,Vincent Kompany,2014,Belgium,International-FIFA-World-Cup,WC,4,360,3,-,1,2,7.05
1247,Vincent Kompany,2012/2013,Manchester Ci..,Europe-UEFA-Champions-League,UCL,6,540,3,-,-,3,6.78
1248,Vincent Kompany,2012/2013,Manchester Ci..,England-Premier-League,EPL,26,2239,15,2,1,12,7.09
1249,Vincent Kompany,2011/2012,Manchester Ci..,Europe-UEFA-Champions-League,UCL,6,540,1,-,1,-,6.97
1250,Vincent Kompany,2011/2012,Manchester Ci..,England-Premier-League,EPL,31,2774,18,4,11,3,7.32
1251,Vincent Kompany,2010/2011,Manchester Ci..,England-Premier-League,EPL,37,3330,11,-,1,10,7.42
1252,Vincent Kompany,2009/2010,Manchester Ci..,England-Premier-League,EPL,25,1913,9,2,1,6,7.26
1253,Gary Cahill,2014,England,International-FIFA-World-Cup,WC,3,270,-,-,-,-,7.21
1254,Igor Akinfeev,2017/2018,CSKA Moscow,Europe-UEFA-Europa-League,UEL,6,540,-,-,-,-,6.86
1255,Igor Akinfeev,2017/2018,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.98
1256,Igor Akinfeev,2017/2018,CSKA Moscow,Russia-Premier-League,RPL,28,2520,-,-,-,-,6.78
1257,Igor Akinfeev,2016/2017,CSKA Moscow,Russia-Premier-League,RPL,29,2610,-,-,-,-,6.8
1258,Igor Akinfeev,2016/2017,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.6
1259,Igor Akinfeev,2015/2016,CSKA Moscow,Russia-Premier-League,RPL,30,2700,-,-,-,-,6.67
1260,Igor Akinfeev,2015/2016,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.4
1261,Igor Akinfeev,2014/2015,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.52
1262,Igor Akinfeev,2014/2015,CSKA Moscow,Russia-Premier-League,RPL,30,2700,-,-,-,-,6.57
1263,Igor Akinfeev,2016,Russia,International-European-Championship,UEC,3,270,-,-,-,-,6.8
1264,Igor Akinfeev,2013/2014,CSKA Moscow,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.17
1265,Igor Akinfeev,2013/2014,CSKA Moscow,Russia-Premier-League,RPL,29,2610,-,-,-,-,6.93
1266,Igor Akinfeev,2014,Russia,International-FIFA-World-Cup,WC,3,270,-,-,-,-,6.0
1267,Igor Akinfeev,2009/2010,CSKA Moscow,Europe-UEFA-Champions-League,UCL,10,900,-,-,-,-,7.02
1268,Manuel Neuer,2017/2018,Bayern Munich,Germany-Bundesliga,GB,3,270,-,-,-,-,6.73
1269,Manuel Neuer,2017/2018,Bayern Munich,Europe-UEFA-Champions-League,UCL,1,90,-,-,-,-,6.7
1270,Manuel Neuer,2016/2017,Bayern Munich,Germany-Bundesliga,GB,26,2340,-,-,-,-,6.65
1271,Manuel Neuer,2016/2017,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,810,-,-,-,-,6.91
1272,Manuel Neuer,2015/2016,Bayern Munich,Germany-Bundesliga,GB,34,3021,-,-,-,-,6.72
1273,Manuel Neuer,2015/2016,Bayern Munich,Europe-UEFA-Champions-League,UCL,11,990,-,-,-,-,6.77
