,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists,Rating
109,Shinji Kagawa,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,18,1371,1,-,-,-,-,-,1,7.12
110,Mesut Özil,2017/2018,Arsenal,Europe-UEFA-Europa-League,UEL,7,609,1,-,2,-,-,1,4,7.7
111,Mesut Özil,2017/2018,Arsenal,England-Premier-League,EPL,26,2164,3,-,1,2,-,4,8,7.25
112,Mesut Özil,2016/2017,Arsenal,Europe-UEFA-Champions-League,UCL,8,627,1,-,-,-,-,2,3,7.37
113,Mesut Özil,2016/2017,Arsenal,England-Premier-League,EPL,33,2848,3,3,-,-,-,6,9,7.3
114,Mesut Özil,2015/2016,Arsenal,Europe-UEFA-Champions-League,UCL,8,720,-,-,-,-,-,-,-,7.03
115,Mesut Özil,2015/2016,Arsenal,England-Premier-League,EPL,35,3049,9,2,3,3,-,7,19,7.66
116,Mesut Özil,2014/2015,Arsenal,Europe-UEFA-Champions-League,UCL,4,319,-,-,1,-,-,-,1,6.8
117,Mesut Özil,2014/2015,Arsenal,England-Premier-League,EPL,22,1860,3,2,1,-,-,1,5,7.57
118,Mesut Özil,2016,Germany,International-European-Championship,UEC,6,540,1,-,-,-,-,-,1,7.42
119,Mesut Özil,2013/2014,Real Madrid,Spain-La-Liga,SLL,2,134,-,-,-,-,-,-,-,7.18
120,Mesut Özil,2013/2014,Arsenal,Europe-UEFA-Champions-League,UCL,8,668,-,-,-,-,-,2,2,6.83
121,Mesut Özil,2013/2014,Arsenal,England-Premier-League,EPL,26,2150,4,1,1,1,-,4,9,7.27
122,Mesut Özil,2014,Germany,International-FIFA-World-Cup,WC,7,595,-,-,-,-,-,1,1,6.98
123,Mesut Özil,2012/2013,Real Madrid,Spain-La-Liga,SLL,32,2042,5,3,3,2,-,5,13,7.39
124,Mesut Özil,2012/2013,Real Madrid,Europe-UEFA-Champions-League,UCL,10,723,1,-,2,-,-,1,4,6.97
125,Mesut Özil,2012,Germany,International-European-Championship,UEC,5,438,1,-,1,1,-,1,3,7.82
126,Mesut Özil,2011/2012,Real Madrid,Spain-La-Liga,SLL,35,2591,4,4,6,-,-,7,17,7.37
127,Mesut Özil,2011/2012,Real Madrid,Europe-UEFA-Champions-League,UCL,10,788,-,-,-,-,-,3,3,7.47
128,Mesut Özil,2010/2011,Real Madrid,Spain-La-Liga,SLL,36,2571,6,4,2,-,-,9,17,7.44
129,Mesut Özil,2010/2011,Real Madrid,Europe-UEFA-Champions-League,UCL,11,805,1,-,1,-,-,4,6,7.41
130,Mesut Özil,2009/2010,Werder Bremen,Germany-Bundesliga,GB,31,2601,8,4,-,1,-,4,13,7.62
131,Steven Nzonzi,2017/2018,Sevilla,Spain-La-Liga,SLL,27,2216,1,-,-,-,-,1,2,6.89
132,Steven Nzonzi,2017/2018,Sevilla,Europe-UEFA-Champions-League,UCL,8,676,-,-,-,-,-,-,-,7.0
133,Steven Nzonzi,2016/2017,Sevilla,Spain-La-Liga,SLL,35,3067,-,-,1,-,-,2,3,7.13
134,Steven Nzonzi,2016/2017,Sevilla,Europe-UEFA-Champions-League,UCL,8,720,-,-,-,-,-,-,-,7.48
135,Steven Nzonzi,2015/2016,Sevilla,Spain-La-Liga,SLL,28,1847,1,-,-,-,-,-,1,6.86
136,Steven Nzonzi,2015/2016,Sevilla,Europe-UEFA-Europa-League,UEL,7,627,-,-,-,-,-,-,-,7.1
137,Steven Nzonzi,2015/2016,Sevilla,Europe-UEFA-Champions-League,UCL,5,284,-,-,-,-,-,-,-,6.82
138,Steven Nzonzi,2014/2015,Stoke,England-Premier-League,EPL,38,3376,-,-,-,-,-,1,1,7.01
139,Steven Nzonzi,2013/2014,Stoke,England-Premier-League,EPL,36,3041,-,-,-,-,-,1,1,6.8
140,Steven Nzonzi,2012/2013,Stoke,England-Premier-League,EPL,35,3109,-,-,-,-,-,-,-,6.76
141,Steven Nzonzi,2011/2012,Blackburn,England-Premier-League,EPL,32,2810,1,-,1,-,-,3,5,6.83
142,Steven Nzonzi,2010/2011,Blackburn,England-Premier-League,EPL,21,1268,-,-,-,-,-,-,-,6.74
143,Steven Nzonzi,2009/2010,Blackburn,England-Premier-League,EPL,33,2868,-,-,-,-,-,-,-,7.11
144,Éver Banega,2017/2018,Sevilla,Spain-La-Liga,SLL,31,2397,2,1,-,1,-,1,3,7.08
