,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists,Rating
2312,Simon Mignolet,2015/2016,Liverpool,Europe-UEFA-Europa-League,UEL,15,1350,-,-,-,-,-,-,-,6.64
2313,Simon Mignolet,2015/2016,Liverpool,England-Premier-League,EPL,34,3060,-,-,-,-,-,-,-,6.52
2314,Simon Mignolet,2014/2015,Liverpool,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,6.44
2315,Simon Mignolet,2014/2015,Liverpool,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,-,-,-,6.64
2316,Simon Mignolet,2014/2015,Liverpool,England-Premier-League,EPL,36,3224,-,-,-,-,-,-,-,6.73
2317,Simon Mignolet,2013/2014,Liverpool,England-Premier-League,EPL,38,3420,-,-,-,-,-,-,-,6.68
2318,Simon Mignolet,2012/2013,Sunderland,England-Premier-League,EPL,38,3420,-,-,-,-,-,-,-,6.99
2319,Simon Mignolet,2011/2012,Sunderland,England-Premier-League,EPL,29,2573,-,-,-,-,-,-,-,6.86
2320,Simon Mignolet,2010/2011,Sunderland,England-Premier-League,EPL,23,2070,-,-,-,-,-,-,-,6.72
2321,Marouane Fellaini,2017/2018,Manchester Un..,Europe-UEFA-Champions-League,UCL,3,221,-,-,-,-,-,-,-,7.21
2322,Marouane Fellaini,2017/2018,Manchester Un..,England-Premier-League,EPL,16,613,-,-,-,-,-,-,-,6.94
2323,Marouane Fellaini,2016/2017,Manchester Un..,England-Premier-League,EPL,28,1600,-,-,-,-,-,-,-,6.91
2324,Marouane Fellaini,2016/2017,Manchester Un..,Europe-UEFA-Europa-League,UEL,11,695,-,-,-,-,-,1,1,7.16
2325,Marouane Fellaini,2015/2016,Manchester Un..,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,-,-,-,6.83
2326,Marouane Fellaini,2015/2016,Manchester Un..,Europe-UEFA-Champions-League,UCL,5,207,-,-,-,-,-,-,-,6.25
2327,Marouane Fellaini,2015/2016,Manchester Un..,England-Premier-League,EPL,18,1070,-,-,-,-,-,-,-,6.78
2328,Marouane Fellaini,2014/2015,Manchester Un..,England-Premier-League,EPL,27,1831,-,-,-,-,-,-,-,7.16
2329,Marouane Fellaini,2016,Belgium,International-European-Championship,UEC,3,144,-,-,-,-,-,-,-,6.73
2330,Marouane Fellaini,2013/2014,Manchester Un..,Europe-UEFA-Champions-League,UCL,5,328,-,-,-,-,-,-,-,6.68
2331,Marouane Fellaini,2013/2014,Everton,England-Premier-League,EPL,3,270,-,-,-,-,-,-,-,7.75
2332,Marouane Fellaini,2013/2014,Manchester Un..,England-Premier-League,EPL,16,1106,-,-,-,-,-,1,1,7.21
2333,Marouane Fellaini,2014,Belgium,International-FIFA-World-Cup,WC,5,385,-,-,-,-,-,-,-,7.01
2334,Marouane Fellaini,2012/2013,Everton,England-Premier-League,EPL,31,2786,1,-,1,-,-,3,5,7.59
2335,Marouane Fellaini,2011/2012,Everton,England-Premier-League,EPL,34,2856,-,-,-,-,-,4,4,7.1
2336,Marouane Fellaini,2010/2011,Everton,England-Premier-League,EPL,20,1654,-,-,1,-,-,1,2,7.1
2337,Marouane Fellaini,2009/2010,Everton,England-Premier-League,EPL,23,1763,2,-,-,-,-,-,2,7.49
2338,Mousa Dembélé,2017/2018,Tottenham,Europe-UEFA-Champions-League,UCL,6,328,-,-,-,-,-,-,-,6.66
2339,Mousa Dembélé,2017/2018,Tottenham,England-Premier-League,EPL,28,1886,-,-,-,-,-,-,-,6.9
2340,Mousa Dembélé,2016/2017,Tottenham,Europe-UEFA-Champions-League,UCL,4,165,-,-,-,-,-,-,-,6.78
2341,Mousa Dembélé,2016/2017,Tottenham,England-Premier-League,EPL,30,2066,-,-,-,-,-,1,1,7.18
2342,Mousa Dembélé,2016/2017,Tottenham,Europe-UEFA-Europa-League,UEL,2,143,-,-,-,-,-,-,-,7.46
2343,Mousa Dembélé,2015/2016,Tottenham,Europe-UEFA-Europa-League,UEL,4,159,-,-,-,-,-,-,-,6.64
2344,Mousa Dembélé,2015/2016,Tottenham,England-Premier-League,EPL,29,2273,-,-,-,-,-,1,1,7.69
2345,Mousa Dembélé,2014/2015,Tottenham,Europe-UEFA-Europa-League,UEL,5,351,-,-,-,-,-,-,-,7.39
2346,Mousa Dembélé,2014/2015,Tottenham,England-Premier-League,EPL,26,1140,-,-,-,-,-,1,1,6.63
2347,Mousa Dembélé,2016,Belgium,International-European-Championship,UEC,1,57,-,-,-,-,-,-,-,7.27
2348,Mousa Dembélé,2013/2014,Tottenham,Europe-UEFA-Europa-League,UEL,7,579,-,-,-,-,-,-,-,7.48
2349,Mousa Dembélé,2013/2014,Tottenham,England-Premier-League,EPL,28,1823,-,-,-,-,-,1,1,7.14
2350,Mousa Dembélé,2014,Belgium,International-FIFA-World-Cup,WC,2,155,-,-,-,-,-,-,-,7.04
2351,Mousa Dembélé,2012/2013,Tottenham,Europe-UEFA-Europa-League,UEL,10,693,-,-,-,-,-,1,1,7.18
2352,Mousa Dembélé,2012/2013,Tottenham,England-Premier-League,EPL,30,2211,-,-,-,-,-,3,3,7.23
2353,Mousa Dembélé,2012/2013,Fulham,England-Premier-League,EPL,2,180,-,-,-,-,-,-,-,8.42
2354,Mousa Dembélé,2011/2012,Fulham,England-Premier-League,EPL,36,2941,-,-,-,-,-,2,2,7.27
2355,Mousa Dembélé,2010/2011,Fulham,England-Premier-League,EPL,24,1923,1,-,1,-,-,1,3,7.12
2356,Mousa Dembélé,2009/2010,AZ Alkmaar,Europe-UEFA-Champions-League,UCL,6,488,-,-,-,-,-,-,-,6.88
2357,Armando Cooper,2017,Toronto FC,USA-Major-League-Soccer,UMLS,23,947,1,-,-,-,-,-,1,6.55
2358,Armando Cooper,2016,Toronto FC,USA-Major-League-Soccer,UMLS,12,821,-,-,-,-,-,2,2,7.36
2359,Alberto Quintero,2016,San Jose Eart..,,UMLS,30,2231,1,-,1,-,-,2,4,6.91
2360,Takashi Inui,2017/2018,Eibar,Spain-La-Liga,SLL,34,2640,1,-,1,1,-,-,2,6.64
2361,Takashi Inui,2016/2017,Eibar,Spain-La-Liga,SLL,28,2088,1,-,-,-,-,1,2,6.83
2362,Takashi Inui,2015/2016,Eibar,Spain-La-Liga,SLL,27,1629,-,-,-,-,-,3,3,6.55
2363,Takashi Inui,2015/2016,Eintracht Fra..,Germany-Bundesliga,GB,1,46,-,-,-,-,-,-,-,6.22
2364,Takashi Inui,2014/2015,Eintracht Fra..,Germany-Bundesliga,GB,27,1824,-,-,1,-,-,4,5,6.78
2365,Takashi Inui,2013/2014,Eintracht Fra..,Europe-UEFA-Europa-League,UEL,4,236,-,-,-,-,-,-,-,6.88
2366,Takashi Inui,2013/2014,Eintracht Fra..,Germany-Bundesliga,GB,14,841,-,-,-,-,-,-,-,6.46
2367,Takashi Inui,2013,Japan,International-Confederations-Cup,ICC,1,1,-,-,-,-,-,-,-,6.11
2368,Takashi Inui,2012/2013,Eintracht Fra..,Germany-Bundesliga,GB,33,2649,1,1,1,-,-,3,5,7.01
2369,Kamil Glik,2017/2018,Monaco,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,6.61
2370,Kamil Glik,2017/2018,Monaco,France-Ligue-1,FL1,36,3240,-,-,-,-,-,3,3,7.12
2371,Kamil Glik,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,10,900,-,-,-,-,-,-,-,6.93
2372,Kamil Glik,2016/2017,Monaco,France-Ligue-1,FL1,36,3240,-,-,-,-,-,2,2,7.16
2373,Kamil Glik,2015/2016,Torino,Italy-Serie-A,ISA,33,2970,-,-,-,-,-,-,-,6.93
2374,Kamil Glik,2014/2015,Torino,Italy-Serie-A,ISA,32,2795,-,-,-,-,-,-,-,7.07
2375,Kamil Glik,2014/2015,Torino,Europe-UEFA-Europa-League,UEL,7,630,-,-,-,-,-,1,1,7.01
2376,Kamil Glik,2016,Poland,International-European-Championship,UEC,5,450,-,-,-,-,-,-,-,7.27
2377,Kamil Glik,2013/2014,Torino,Italy-Serie-A,ISA,34,2965,-,-,-,-,-,-,-,6.94
2378,Kamil Glik,2012/2013,Torino,Italy-Serie-A,ISA,32,2693,-,-,-,-,-,-,-,6.84
2379,Kamil Glik,2010/2011,Bari,Italy-Serie-A,ISA,16,1356,-,-,-,-,-,-,-,6.67
2380,Kamil Grosicki,2017/2018,Hull,England-Championship,EC,37,2131,2,-,-,-,-,3,5,6.73
2381,Kamil Grosicki,2016/2017,Hull,England-Premier-League,EPL,15,1147,1,1,-,-,-,2,3,6.59
2382,Kamil Grosicki,2016/2017,Rennes,France-Ligue-1,FL1,16,989,2,-,-,-,-,1,3,6.68
2383,Kamil Grosicki,2015/2016,Rennes,France-Ligue-1,FL1,33,1525,-,-,-,1,-,2,3,6.62
2384,Kamil Grosicki,2014/2015,Rennes,France-Ligue-1,FL1,19,836,1,-,-,-,-,2,3,6.49
2385,Kamil Grosicki,2016,Poland,International-European-Championship,UEC,5,288,1,-,-,-,-,1,2,6.47
2386,Kamil Grosicki,2013/2014,Rennes,France-Ligue-1,FL1,13,717,2,-,-,-,-,1,3,6.51
2387,Kamil Grosicki,2012,Poland,International-European-Championship,UEC,1,34,-,-,-,-,-,-,-,6.02
2388,Kamil Wilczek,2015/2016,Carpi,,ISA,3,116,-,-,-,-,-,-,-,6.34
2389,Mame Biram Diouf,2017/2018,Stoke,England-Premier-League,EPL,35,2602,1,-,-,-,-,1,2,6.76
2390,Mame Biram Diouf,2016/2017,Stoke,England-Premier-League,EPL,27,1382,1,-,-,-,-,1,2,6.63
2391,Mame Biram Diouf,2015/2016,Stoke,England-Premier-League,EPL,26,1269,-,-,-,-,-,1,1,6.46
2392,Mame Biram Diouf,2015,Senegal,International-Africa-Cup-of-Nations,ACoN,3,270,-,-,-,-,-,1,1,6.92
2393,Mame Biram Diouf,2014/2015,Stoke,England-Premier-League,EPL,34,2438,1,-,-,-,-,2,3,6.83
2394,Mame Biram Diouf,2013/2014,Hannover 96,Germany-Bundesliga,GB,19,1474,-,-,-,-,-,3,3,7.32
2395,Mame Biram Diouf,2012/2013,Hannover 96,Germany-Bundesliga,GB,28,2157,-,-,-,-,-,7,7,7.14
2396,Mame Biram Diouf,2012/2013,Hannover 96,Europe-UEFA-Europa-League,UEL,6,426,-,-,-,-,-,1,1,7.33
2397,Mame Biram Diouf,2011/2012,Hannover 96,Germany-Bundesliga,GB,10,782,-,-,-,-,-,3,3,7.22
2398,Mame Biram Diouf,2010/2011,Blackburn,England-Premier-League,EPL,27,1628,-,-,1,-,-,-,1,6.55
2399,Mame Biram Diouf,2009/2010,Manchester Un..,England-Premier-League,EPL,5,90,-,-,-,-,-,-,-,6.4
2400,Igor Smolnikov,2017/2018,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,5,330,-,-,-,-,-,-,-,6.31
2401,Igor Smolnikov,2017/2018,Zenit St. Pet..,Russia-Premier-League,RPL,22,1853,-,-,-,-,-,-,-,7.06
2402,Igor Smolnikov,2016/2017,Zenit St. Pet..,Russia-Premier-League,RPL,17,1508,1,-,-,-,-,-,1,6.88
2403,Igor Smolnikov,2016/2017,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,-,-,-,6.98
2404,Igor Smolnikov,2015/2016,Zenit St. Pet..,Russia-Premier-League,RPL,26,2050,1,-,-,-,-,-,1,6.79
2405,Igor Smolnikov,2015/2016,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,5,273,-,-,-,-,-,-,-,6.4
2406,Igor Smolnikov,2014/2015,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,3,149,-,-,-,-,-,-,-,6.2
2407,Igor Smolnikov,2014/2015,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,5,450,-,-,-,-,-,1,1,7.24
2408,Igor Smolnikov,2014/2015,Zenit St. Pet..,Russia-Premier-League,RPL,23,1986,1,-,-,-,-,1,2,7.23
2409,Igor Smolnikov,2016,Russia,International-European-Championship,UEC,3,270,-,-,-,-,-,-,-,6.34
2410,Igor Smolnikov,2013/2014,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,7,371,-,-,-,-,-,-,-,6.63
2411,Igor Smolnikov,2013/2014,Zenit St. Pet..,Russia-Premier-League,RPL,19,1522,1,-,-,-,-,1,2,7.04
2412,Igor Smolnikov,2013/2014,FC Krasnodar,Russia-Premier-League,RPL,4,360,-,-,-,-,-,-,-,6.7
2413,Martín Campaña,2017/2018,Independiente,Argentina-Primera-División,APD,23,2070,-,-,-,-,-,-,-,6.65
2414,Martín Campaña,2016/2017,Independiente,Argentina-Primera-División,APD,29,2610,-,-,-,-,-,-,-,6.87
2415,Martín Campaña,2016,Independiente,Argentina-Primera-División,APD,11,990,-,-,-,-,-,-,-,7.22
2416,Nicolás Lodeiro,2018,Seattle Sound..,USA-Major-League-Soccer,UMLS,5,450,-,-,-,-,-,-,-,7.37
2417,Nicolás Lodeiro,2017,Seattle Sound..,USA-Major-League-Soccer,UMLS,38,3415,4,2,1,1,-,5,10,7.25
2418,Nicolás Lodeiro,2016,Boca Juniors,Argentina-Primera-División,APD,9,582,-,-,-,-,-,1,1,6.8
2419,Nicolás Lodeiro,2016,Seattle Sound..,USA-Major-League-Soccer,UMLS,19,1710,3,-,-,-,-,2,5,7.38
2420,Nicolás Lodeiro,2015,Uruguay,International-Copa-America,ICA,2,155,-,-,-,-,-,-,-,6.68
2421,Nicolás Lodeiro,2014,Botafogo RJ,Brazil-Brasileirão,BSA,3,205,-,-,-,-,-,-,-,6.62
2422,Nicolás Lodeiro,2014,Corinthians,Brazil-Brasileirão,BSA,7,266,1,-,-,1,-,-,1,6.26
2423,Nicolás Lodeiro,2014,Uruguay,International-FIFA-World-Cup,WC,3,144,-,-,-,-,-,-,-,6.64
2424,Nicolás Lodeiro,2013,Botafogo RJ,Brazil-Brasileirão,BSA,26,1915,1,-,-,-,-,1,2,6.92
2425,Nicolás Lodeiro,2013,Uruguay,International-Confederations-Cup,ICC,2,117,-,-,2,-,-,-,2,8.08
2426,Nicolás Lodeiro,2011/2012,Ajax,Europe-UEFA-Champions-League,UCL,4,175,-,-,-,-,-,-,-,6.49
2427,Fayçal Fajr,2017/2018,Getafe,Spain-La-Liga,SLL,31,2384,2,1,-,1,-,1,4,6.84
2428,Fayçal Fajr,2016/2017,Deportivo La ..,Spain-La-Liga,SLL,24,1205,2,1,-,1,-,-,2,6.36
2429,Fayçal Fajr,2015/2016,Deportivo La ..,Spain-La-Liga,SLL,38,2841,1,-,-,-,-,2,3,6.81
2430,Fayçal Fajr,2014/2015,Elche,Spain-La-Liga,SLL,34,2568,2,2,2,-,-,-,4,6.86
2431,Fayçal Fajr,2011/2012,Caen,France-Ligue-1,FL1,13,748,-,-,-,-,-,-,-,6.44
2432,Adrien Silva,2017/2018,Sporting CP,Portugal-Liga-NOS,PLN,3,224,-,-,-,-,-,1,1,7.24
2433,Adrien Silva,2017/2018,Leicester,England-Premier-League,EPL,12,763,-,-,-,-,-,1,1,6.4
2434,Adrien Silva,2016/2017,Sporting CP,Portugal-Liga-NOS,PLN,27,2160,1,-,-,1,-,1,2,7.11
2435,Adrien Silva,2016/2017,Sporting CP,Europe-UEFA-Champions-League,UCL,5,375,-,-,-,-,-,1,1,7.11
2436,Adrien Silva,2015/2016,Sporting CP,Europe-UEFA-Europa-League,UEL,6,367,-,-,-,-,-,-,-,6.86
2437,Adrien Silva,2014/2015,Sporting CP,Europe-UEFA-Champions-League,UCL,6,531,-,-,-,-,-,-,-,7.11
2438,Adrien Silva,2014/2015,Sporting CP,Europe-UEFA-Europa-League,UEL,2,154,-,-,-,-,-,-,-,7.23
2439,Adrien Silva,2016,Portugal,International-European-Championship,UEC,4,309,-,-,-,-,-,-,-,6.62
2440,Adrien Silva,2012/2013,Sporting CP,Europe-UEFA-Europa-League,UEL,2,98,-,-,-,-,-,-,-,6.6
2441,Sergio Busquets,2017/2018,Barcelona,Spain-La-Liga,SLL,31,2600,-,-,1,-,-,3,4,7.25
2442,Sergio Busquets,2017/2018,Barcelona,Europe-UEFA-Champions-League,UCL,10,768,-,-,-,-,-,-,-,7.01
2443,Sergio Busquets,2016/2017,Barcelona,Spain-La-Liga,SLL,33,2693,-,-,-,-,-,3,3,7.02
2444,Sergio Busquets,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,8,691,-,-,-,-,-,-,-,7.0
2445,Sergio Busquets,2015/2016,Barcelona,Spain-La-Liga,SLL,35,2906,1,-,1,-,-,2,4,7.28
2446,Sergio Busquets,2015/2016,Barcelona,Europe-UEFA-Champions-League,UCL,9,725,-,-,-,-,-,-,-,7.29
2447,Sergio Busquets,2014/2015,Barcelona,Spain-La-Liga,SLL,33,2492,-,-,-,-,-,2,2,7.24
2448,Sergio Busquets,2014/2015,Barcelona,Europe-UEFA-Champions-League,UCL,10,788,-,-,-,-,-,-,-,7.1
2449,Sergio Busquets,2016,Spain,International-European-Championship,UEC,4,360,-,-,-,-,-,-,-,6.84
2450,Sergio Busquets,2013/2014,Barcelona,Spain-La-Liga,SLL,32,2656,-,-,-,-,-,1,1,7.21
2451,Sergio Busquets,2013/2014,Barcelona,Europe-UEFA-Champions-League,UCL,9,793,-,-,-,-,-,1,1,7.51
2452,Sergio Busquets,2014,Spain,International-FIFA-World-Cup,WC,2,180,-,-,-,-,-,-,-,5.92
2453,Sergio Busquets,2013,Spain,International-Confederations-Cup,ICC,4,360,-,-,-,-,-,-,-,6.94
2454,Sergio Busquets,2012/2013,Barcelona,Spain-La-Liga,SLL,31,2250,-,-,1,-,-,1,2,7.22
2455,Sergio Busquets,2012/2013,Barcelona,Europe-UEFA-Champions-League,UCL,8,718,-,-,-,-,-,-,-,6.96
2456,Sergio Busquets,2012,Spain,International-European-Championship,UEC,6,540,-,-,-,-,-,-,-,7.36
2457,Sergio Busquets,2011/2012,Barcelona,Spain-La-Liga,SLL,31,2439,-,-,1,-,-,-,1,7.41
2458,Sergio Busquets,2011/2012,Barcelona,Europe-UEFA-Champions-League,UCL,10,875,-,-,-,-,-,-,-,7.27
2459,Sergio Busquets,2010/2011,Barcelona,Spain-La-Liga,SLL,28,2298,-,-,1,-,-,2,3,7.38
2460,Sergio Busquets,2010/2011,Barcelona,Europe-UEFA-Champions-League,UCL,12,1080,-,-,-,-,-,3,3,7.53
2461,Sergio Busquets,2009/2010,Barcelona,Spain-La-Liga,SLL,33,2325,-,-,1,-,-,1,2,7.19
2462,Sergio Busquets,2009/2010,Barcelona,Europe-UEFA-Champions-League,UCL,9,604,-,-,-,-,-,-,-,7.13
2463,James Troisi,2016,Liaoning Hong..,China-Super-league,CSl,3,168,-,-,-,-,-,-,-,6.39
2464,James Troisi,2014,Australia,International-FIFA-World-Cup,WC,2,41,-,-,-,-,-,-,-,6.15
2465,James Troisi,2012/2013,Atalanta,Italy-Serie-A,ISA,6,196,-,-,-,-,-,-,-,6.29
2466,Robbie Kruse,2017/2018,Bochum,Germany-Bundesliga-II,GB2,30,2558,1,-,-,-,-,4,5,6.89
2467,Robbie Kruse,2017,Liaoning Hong..,China-Super-league,CSl,4,360,-,-,-,-,-,-,-,7.02
2468,Robbie Kruse,2016/2017,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,1,19,-,-,-,-,-,-,-,6.69
2469,Robbie Kruse,2015/2016,Bayer Leverku..,Germany-Bundesliga,GB,9,344,-,-,-,-,-,-,-,6.24
2470,Robbie Kruse,2015/2016,VfB Stuttgart,Germany-Bundesliga,GB,3,100,-,-,-,-,-,-,-,6.25
2471,Robbie Kruse,2015/2016,Bayer Leverku..,Europe-UEFA-Europa-League,UEL,3,56,-,-,-,-,-,-,-,6.22
2472,Robbie Kruse,2014/2015,Bayer Leverku..,Germany-Bundesliga,GB,4,47,-,-,-,-,-,1,1,6.23
2473,Robbie Kruse,2014/2015,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,2,47,-,-,-,-,-,-,-,6.05
2474,Robbie Kruse,2013/2014,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,4,80,-,-,-,-,-,-,-,6.25
2475,Robbie Kruse,2013/2014,Bayer Leverku..,Germany-Bundesliga,GB,15,412,1,-,-,-,-,1,2,6.53
2476,Robbie Kruse,2012/2013,Fortuna Duess..,Germany-Bundesliga,GB,30,2561,3,-,1,-,-,3,7,6.96
2477,Jonas Lössl,2017/2018,Huddersfield,England-Premier-League,EPL,38,3420,-,-,-,-,-,1,1,6.57
2478,Jonas Lössl,2016/2017,Mainz 05,Germany-Bundesliga,GB,27,2430,-,-,-,-,-,-,-,6.52
2479,Jonas Lössl,2016/2017,Mainz 05,Europe-UEFA-Europa-League,UEL,5,450,-,-,-,-,-,-,-,5.95
2480,Jonas Lössl,2015/2016,Guingamp,France-Ligue-1,FL1,37,3330,-,-,-,-,-,-,-,6.83
2481,Jonas Lössl,2014/2015,Guingamp,Europe-UEFA-Europa-League,UEL,7,630,-,-,-,-,-,-,-,7.08
2482,Jonas Lössl,2014/2015,Guingamp,France-Ligue-1,FL1,30,2689,-,-,-,-,-,-,-,6.73
2483,Simon Kjær,2017/2018,Sevilla,Spain-La-Liga,SLL,20,1572,-,-,-,-,-,-,-,6.82
2484,Simon Kjær,2017/2018,Sevilla,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,6.86
2485,Simon Kjær,2016/2017,Fenerbahce,Turkey-Super-Lig,TS,27,2361,-,-,-,-,-,-,-,6.86
2486,Simon Kjær,2016/2017,Fenerbahce,Europe-UEFA-Europa-League,UEL,8,676,-,-,-,-,-,-,-,6.87
2487,Simon Kjær,2015/2016,Fenerbahce,Turkey-Super-Lig,TS,28,2499,-,-,-,-,-,-,-,7.13
2488,Simon Kjær,2015/2016,Fenerbahce,Europe-UEFA-Europa-League,UEL,8,720,-,-,-,-,-,-,-,6.88
2489,Simon Kjær,2014/2015,Lille,Europe-UEFA-Europa-League,UEL,5,450,-,-,-,-,-,-,-,7.06
2490,Simon Kjær,2014/2015,Lille,France-Ligue-1,FL1,31,2709,-,-,-,-,-,-,-,7.32
2491,Simon Kjær,2013/2014,Lille,France-Ligue-1,FL1,34,3036,-,-,-,-,-,1,1,7.27
2492,Simon Kjær,2012/2013,Wolfsburg,Germany-Bundesliga,GB,22,1686,-,-,-,-,-,1,1,6.88
2493,Simon Kjær,2012,Denmark,International-European-Championship,UEC,3,270,-,-,-,-,-,-,-,6.94
2494,Simon Kjær,2011/2012,Roma,Italy-Serie-A,ISA,22,1678,-,-,-,-,-,-,-,6.88
2495,Simon Kjær,2011/2012,Wolfsburg,Germany-Bundesliga,GB,3,270,-,-,-,-,-,-,-,6.51
2496,Simon Kjær,2010/2011,Wolfsburg,Germany-Bundesliga,GB,32,2832,-,-,-,-,-,-,-,6.82
2497,Simon Kjær,2009/2010,Palermo,Italy-Serie-A,ISA,35,3131,-,-,-,-,-,-,-,7.03
2498,Andreas Bjelland,2017/2018,Brentford,England-Championship,EC,34,2681,-,-,-,-,-,1,1,6.93
2499,Andreas Bjelland,2016/2017,Brentford,England-Championship,EC,28,2230,-,-,-,-,-,2,2,6.92
2500,Andreas Bjelland,2014/2015,Twente,Netherlands-Eredivisie,NE,26,2244,-,-,-,-,-,3,3,7.27
2501,Andreas Bjelland,2013/2014,Twente,Netherlands-Eredivisie,NE,33,2931,-,-,-,-,-,2,2,7.2
2502,Daniel Wass,2017/2018,Celta Vigo,Spain-La-Liga,SLL,35,2941,4,2,-,1,-,5,9,6.87
2503,Daniel Wass,2016/2017,Celta Vigo,Spain-La-Liga,SLL,32,2394,2,1,-,1,-,2,4,6.8
2504,Daniel Wass,2016/2017,Celta Vigo,Europe-UEFA-Europa-League,UEL,14,827,-,-,-,-,-,1,1,6.8
2505,Daniel Wass,2015/2016,Celta Vigo,Spain-La-Liga,SLL,36,2706,2,-,-,-,-,3,5,6.87
2506,Daniel Wass,2014/2015,Evian Thonon ..,France-Ligue-1,FL1,32,2471,3,-,-,3,-,2,5,6.93
2507,Daniel Wass,2013/2014,Evian Thonon ..,France-Ligue-1,FL1,38,3220,-,-,1,-,-,2,3,7.06
2508,Daniel Wass,2012/2013,Evian Thonon ..,France-Ligue-1,FL1,34,2985,-,-,-,1,-,-,1,6.86
2509,Daniel Wass,2011/2012,Evian Thonon ..,France-Ligue-1,FL1,29,2373,2,-,-,-,-,-,2,6.76
2510,Robert Lewandowski,2017/2018,Bayern Munich,Germany-Bundesliga,GB,30,2169,-,-,1,-,-,1,2,7.49
2511,Robert Lewandowski,2017/2018,Bayern Munich,Europe-UEFA-Champions-League,UCL,11,955,-,-,-,-,-,1,1,7.29
2512,Robert Lewandowski,2016/2017,Bayern Munich,Germany-Bundesliga,GB,33,2777,-,-,-,-,-,5,5,7.74
2513,Robert Lewandowski,2016/2017,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,794,-,-,1,-,-,-,1,7.52
2514,Robert Lewandowski,2015/2016,Bayern Munich,Germany-Bundesliga,GB,32,2654,-,-,1,-,-,1,2,7.6
2515,Robert Lewandowski,2015/2016,Bayern Munich,Europe-UEFA-Champions-League,UCL,12,912,-,-,-,-,-,1,1,7.32
2516,Robert Lewandowski,2014/2015,Bayern Munich,Germany-Bundesliga,GB,31,2487,-,-,-,-,-,5,5,7.43
2517,Robert Lewandowski,2014/2015,Bayern Munich,Europe-UEFA-Champions-League,UCL,12,933,1,-,1,-,-,-,2,7.49
2518,Robert Lewandowski,2016,Poland,International-European-Championship,UEC,5,450,-,-,-,-,-,-,-,6.79
2519,Robert Lewandowski,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,9,809,-,-,-,-,-,2,2,7.4
2520,Robert Lewandowski,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,33,2807,1,-,1,-,-,4,6,8.0
2521,Robert Lewandowski,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,31,2599,-,-,2,-,-,3,5,7.66
2522,Robert Lewandowski,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,13,1090,1,-,-,-,-,1,2,7.63
2523,Robert Lewandowski,2012,Poland,International-European-Championship,UEC,3,270,-,-,-,-,-,-,-,6.75
2524,Robert Lewandowski,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,34,2881,-,-,-,-,-,8,8,7.63
2525,Robert Lewandowski,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,522,-,-,-,-,-,2,2,6.93
2526,Robert Lewandowski,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,33,1612,1,-,-,-,-,-,1,6.76
2527,Giovani dos Santos,2018,LA Galaxy,USA-Major-League-Soccer,UMLS,6,328,1,-,-,-,-,-,1,6.69
2528,Giovani dos Santos,2017,LA Galaxy,USA-Major-League-Soccer,UMLS,25,2191,-,-,-,1,-,2,3,6.84
2529,Giovani dos Santos,2016,LA Galaxy,USA-Major-League-Soccer,UMLS,31,2618,-,-,1,-,-,4,5,7.15
2530,Giovani dos Santos,2015,LA Galaxy,USA-Major-League-Soccer,UMLS,11,895,-,-,-,-,-,5,5,7.32
2531,Giovani dos Santos,2014/2015,Villarreal,Spain-La-Liga,SLL,26,1389,-,-,-,-,-,3,3,6.37
2532,Giovani dos Santos,2014/2015,Villarreal,Europe-UEFA-Europa-League,UEL,6,217,-,-,-,-,-,2,2,7.08
2533,Giovani dos Santos,2013/2014,Villarreal,Spain-La-Liga,SLL,30,2205,2,-,2,-,-,4,8,7.03
2534,Giovani dos Santos,2014,Mexico,International-FIFA-World-Cup,WC,4,299,-,-,-,-,-,-,-,6.8
2535,Giovani dos Santos,2013,Mexico,International-Confederations-Cup,ICC,3,258,-,-,-,-,-,-,-,7.1
