,Player,Tournament-fullname,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
81,Tarek Hamed,"Africa-CAF-Champions-League""><span class=""ui-icon country flg-caf""></span>CAF Champions League</a><a class=""team-link info"" href=""/Teams/4669/Show/Egypt-El-Zamalek""><span> El Zamalek</span></a></td>   <td>3</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CAF Champions League El Zamalek,3,,-,,-,-,,,,,-
82,Marwan Mohsen,,Int. Friendly,2(2),,-,,-,-,,,,,-
83,Ahmed Gomaa,,Int. Friendly,0(1),,-,,-,-,,,,,-
84,Mohammad Rashid Mazaheri,,AFC Champions League,6,,-,,-,-,,,,,-
85,Munir Mohamedi,"Spain-Copa-del-Rey""><span class=""ui-icon country flg-es""></span>Copa del Rey</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Copa del Rey,2,,-,,-,-,,,,,-
86,Munir Mohamedi,"Spain-Segunda-División""><span class=""ui-icon country flg-es""></span>Segunda División</a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Segunda División,1,,-,,-,-,,,,,-
87,Munir Mohamedi,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/495/Show/Morocco-Morocco""><span> Morocco</span></a></td>   <td>3</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Morocco,3,,-,,-,-,,,,,-
88,Munir Mohamedi,"International-Africa-Cup-of-Nations""><span class=""ui-icon country flg-cint""></span>Africa Cup of Nations</a><a class=""team-link info"" href=""/Teams/495/Show/Morocco-Morocco""><span> Morocco</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Africa Cup of Nations Morocco,1,,-,,-,-,,,,,-
89,Aldo Corzo,"International-Copa-America""><span class=""ui-icon country flg-cint""></span>Copa America</a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Copa America,1,,-,,-,-,,,,,-
90,Aldo Corzo,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a></td>   <td>0(2)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly,0(2),,-,,-,-,,,,,-
91,Oswaldo Alanís,"Mexico-Primera-Division""><span class=""ui-icon country flg-mx""></span>Primera Division</a></td>   <td>8</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">2	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Primera Division,8,,2,,-,-,,,,,-
92,Oswaldo Alanís,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/972/Show/Mexico-Mexico""><span> Mexico</span></a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Mexico,2,,-,,-,-,,,,,-
93,Oswaldo Alanís,"International-Confederations-Cup""><span class=""ui-icon country flg-cint""></span>Confederations Cup</a><a class=""team-link info"" href=""/Teams/972/Show/Mexico-Mexico""><span> Mexico</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Confederations Cup Mexico,1,,-,,-,-,,,,,-
94,Oswaldo Alanís,"North-amp-Central-America-CONCACAF-Gold-Cup""><span class=""ui-icon country flg-cna""></span>CONCACAF Gold Cup</a><a class=""team-link info"" href=""/Teams/972/Show/Mexico-Mexico""><span> Mexico</span></a></td>   <td>2(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CONCACAF Gold Cup Mexico,2(1),,-,,-,-,,,,,-
95,Yun Young-sun,"South-Korea-K-League""><span class=""ui-icon country flg-kr""></span>K. League</a></td>   <td>12(5)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",K. League,12(5),,-,,-,-,,,,,-
96,Yun Young-sun,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/1159/Show/South-Korea-South-Korea""><span> South Korea</span></a></td>   <td>2(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly South Korea,2(1),,-,,-,-,,,,,-
97,Luis Ovalle,,Int. Friendly,2,,-,,-,-,,,,,-
98,Salman Al-Faraj,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>7</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">3	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,7,,-,,3,-,,,,,-
99,Salman Al-Faraj,"Saudi-Arabia-1-Division""><span class=""ui-icon country flg-sa""></span>1. Division</a></td>   <td>16(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">3	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">4	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,16(1),,3,,4,-,,,,,-
100,Salman Al-Faraj,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/494/Show/Saudi-Arabia-Saudi-Arabia""><span> Saudi Arabia</span></a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Saudi Arabia,2,,-,,-,-,,,,,-
101,Ramin Rezaeian,"Europe-UEFA-Europa-League""><span class=""ui-icon country flg-ceu""></span>UEFA Europa League</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",UEFA Europa League,2,,-,,-,-,,,,,-
102,Ramin Rezaeian,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/1293/Show/Iran-Iran""><span> Iran</span></a></td>   <td>3</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Iran,3,,-,,-,-,,,,,-
103,Ramin Rezaeian,"Belgium-Jupiler-League""><span class=""ui-icon country flg-be""></span>Jupiler League</a></td>   <td>4(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">1	</td><td class=""redCard   "">1	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Jupiler League,4(1),,1,,1,1,,,,,-
104,Ramin Rezaeian,"Belgium-Cup""><span class=""ui-icon country flg-be""></span>Cup</a></td>   <td>1(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Cup,1(1),,-,,-,-,,,,,-
105,Ramin Rezaeian,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a><a class=""team-link info"" href=""/Teams/4901/Show/Iran-Persepolis""><span> Persepolis</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League Persepolis,1,,-,,-,-,,,,,-
106,Matthew Jurman,"South-Korea-K-League""><span class=""ui-icon country flg-kr""></span>K. League</a></td>   <td>24(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">2	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",K. League,24(1),,2,,-,-,,,,,-
107,Matthew Jurman,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>3</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,3,,-,,-,-,,,,,-
108,Leonel Moreira,,CONCACAF Champions Cup,2,,-,,-,-,,,,,-
109,Kim Min-woo,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/1159/Show/South-Korea-South-Korea""><span> South Korea</span></a></td>   <td>1(2)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly South Korea,1(2),,-,,-,-,,,,,-
110,Kim Min-woo,"South-Korea-K-League""><span class=""ui-icon country flg-kr""></span>K. League</a></td>   <td>27(3)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">6	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",K. League,27(3),,6,,-,-,,,,,-
111,Kim Min-woo,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>5(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,5(1),,-,,-,-,,,,,-
112,Rolando Blackburn,"North-amp-Central-America-CONCACAF-Gold-Cup""><span class=""ui-icon country flg-cna""></span>CONCACAF Gold Cup</a><a class=""team-link info"" href=""/Teams/2694/Show/Panama-Panama""><span> Panama</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CONCACAF Gold Cup Panama,1,,-,,-,-,,,,,-
113,Rolando Blackburn,"North-amp-Central-America-CONCACAF-Champions-Cup""><span class=""ui-icon country flg-cna""></span>CONCACAF Champions Cup</a></td>   <td>3(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">3	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CONCACAF Champions Cup,3(1),,3,,-,-,,,,,-
114,Farouk Ben Mustapha,"International-Club-Friendlies""><span class=""ui-icon country flg-cint""></span>Club Friendlies</a><a class=""team-link info"" href=""/Teams/4864/Show/Tunisia-Club-Africain""><span> Club Africain</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Club Friendlies Club Africain,1,,-,,-,-,,,,,-
115,Farouk Ben Mustapha,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/959/Show/Tunisia-Tunisia""><span> Tunisia</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Tunisia,1,,-,,-,-,,,,,-
116,Farouk Ben Mustapha,"Saudi-Arabia-1-Division""><span class=""ui-icon country flg-sa""></span>1. Division</a></td>   <td>26</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">2	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,26,,-,,2,-,,,,,-
117,William Tesillo,,Copa Libertadores,6,,1,,-,-,,,,,-
118,Ayman Ashraf,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/944/Show/Egypt-Egypt""><span> Egypt</span></a></td>   <td>0(2)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Egypt,0(2),,1,,-,-,,,,,-
119,Ayman Ashraf,"International-Club-Friendlies""><span class=""ui-icon country flg-cint""></span>Club Friendlies</a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Club Friendlies,1,,-,,-,-,,,,,-
120,Saeed Al Mowalad,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>4</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,4,,-,,-,-,,,,,-
121,Saeed Al Mowalad,"Saudi-Arabia-1-Division""><span class=""ui-icon country flg-sa""></span>1. Division</a></td>   <td>22</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">3	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,22,,-,,3,-,,,,,-
122,Saeed Al Mowalad,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/494/Show/Saudi-Arabia-Saudi-Arabia""><span> Saudi Arabia</span></a></td>   <td>1(2)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Saudi Arabia,1(2),,1,,-,-,,,,,-
123,Mohammed Jahfali,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>6</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">2	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,6,,-,,2,-,,,,,-
124,Mohammed Jahfali,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/494/Show/Saudi-Arabia-Saudi-Arabia""><span> Saudi Arabia</span></a></td>   <td>0(2)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Saudi Arabia,0(2),,-,,-,-,,,,,-
125,Mohammed Jahfali,"Saudi-Arabia-1-Division""><span class=""ui-icon country flg-sa""></span>1. Division</a></td>   <td>19(4)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">2	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">4	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,19(4),,2,,4,-,,,,,-
126,Yahya Al-Shehri,"Saudi-Arabia-1-Division""><span class=""ui-icon country flg-sa""></span>1. Division</a></td>   <td>15(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">4	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,15(1),,4,,-,-,,,,,-
