,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Goals,SixYardBox,PenaltyArea,OutOfBox,Rating
2556,Artem Dzyuba,2016/2017,Zenit St. Pet..,Russia-Premier-League,RPL,26,2194,13,5,8,-,7.15
2557,Artem Dzyuba,2016/2017,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,6,469,1,-,1,-,6.63
2558,Artem Dzyuba,2015/2016,Zenit St. Pet..,Russia-Premier-League,RPL,30,2577,15,5,10,-,7.28
2559,Artem Dzyuba,2015/2016,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,8,633,6,-,6,-,7.4
2560,Artem Dzyuba,2014/2015,FC Rostov,Russia-Premier-League,RPL,11,463,1,-,1,-,6.3
2561,Artem Dzyuba,2014/2015,Spartak Mosco..,Russia-Premier-League,RPL,13,856,7,4,3,-,7.03
2562,Artem Dzyuba,2016,Russia,International-European-Championship,UEC,3,270,-,-,-,-,6.56
2563,Artem Dzyuba,2013/2014,FC Rostov,Russia-Premier-League,RPL,28,2489,17,3,14,-,7.14
2564,Artem Dzyuba,2012/2013,Spartak Mosco..,Europe-UEFA-Champions-League,UCL,4,130,-,-,-,-,6.21
2565,Alfreð Finnbogason,2017/2018,Augsburg,Germany-Bundesliga,GB,22,1826,12,3,9,-,7.11
2566,Alfreð Finnbogason,2016/2017,Augsburg,Germany-Bundesliga,GB,13,1132,3,1,2,-,6.7
2567,Alfreð Finnbogason,2015/2016,Augsburg,Germany-Bundesliga,GB,14,1133,7,2,5,-,7.04
2568,Alfreð Finnbogason,2015/2016,Olympiacos,Europe-UEFA-Champions-League,UCL,3,58,1,1,-,-,6.4
2569,Alfreð Finnbogason,2014/2015,Real Sociedad,Spain-La-Liga,SLL,25,785,2,1,1,-,6.19
2570,Alfreð Finnbogason,2016,Iceland,International-European-Championship,UEC,3,75,-,-,-,-,6.12
2571,Alfreð Finnbogason,2013/2014,SC Heerenveen,Netherlands-Eredivisie,NE,32,2835,29,1,26,2,7.54
2572,Ki Sung-yueng,2017/2018,Swansea,England-Premier-League,EPL,25,1870,2,-,-,2,6.61
2573,Ki Sung-yueng,2016/2017,Swansea,England-Premier-League,EPL,23,1287,-,-,-,-,6.36
2574,Ki Sung-yueng,2015/2016,Swansea,England-Premier-League,EPL,28,1853,2,1,1,-,6.57
2575,Ki Sung-yueng,2014/2015,Swansea,England-Premier-League,EPL,33,2690,8,1,6,1,7.1
2576,Ki Sung-yueng,2013/2014,Sunderland,England-Premier-League,EPL,27,2185,3,1,2,-,6.8
2577,Ki Sung-yueng,2013/2014,Swansea,England-Premier-League,EPL,1,13,-,-,-,-,6.1
2578,Ki Sung-yueng,2014,South Korea,International-FIFA-World-Cup,WC,3,270,-,-,-,-,7.25
2579,Ki Sung-yueng,2012/2013,Swansea,England-Premier-League,EPL,29,2037,-,-,-,-,6.78
2580,Christian Ramos,2016/2017,Gimnasia LP,Argentina-Primera-División,APD,4,309,-,-,-,-,6.62
2581,Christian Ramos,2015,Peru,International-Copa-America,ICA,2,153,-,-,-,-,6.8
2582,Nicolás Otamendi,2017/2018,Manchester Ci..,Europe-UEFA-Champions-League,UCL,8,720,1,-,1,-,7.28
2583,Nicolás Otamendi,2017/2018,Manchester Ci..,England-Premier-League,EPL,34,2968,4,2,2,-,7.13
2584,Nicolás Otamendi,2016/2017,Manchester Ci..,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,7.18
2585,Nicolás Otamendi,2016/2017,Manchester Ci..,England-Premier-League,EPL,30,2592,1,-,1,-,7.49
2586,Nicolás Otamendi,2015/2016,Manchester Ci..,Europe-UEFA-Champions-League,UCL,12,940,-,-,-,-,7.0
2587,Nicolás Otamendi,2015/2016,Manchester Ci..,England-Premier-League,EPL,30,2672,1,-,1,-,7.47
2588,Nicolás Otamendi,2015,Argentina,International-Copa-America,ICA,5,450,-,-,-,-,7.21
2589,Nicolás Otamendi,2014/2015,Valencia,Spain-La-Liga,SLL,35,3098,6,3,3,-,7.59
2590,Nicolás Otamendi,2014,Atletico MG,Brazil-Brasileirão,BSA,5,450,-,-,-,-,7.31
2591,Nicolás Otamendi,2013/2014,FC Porto,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,6.59
2592,Nicolás Otamendi,2012/2013,FC Porto,Europe-UEFA-Champions-League,UCL,8,720,-,-,-,-,7.35
2593,Nicolás Otamendi,2011/2012,FC Porto,Europe-UEFA-Champions-League,UCL,5,442,-,-,-,-,6.91
2594,Jordi Alba,2017/2018,Barcelona,Spain-La-Liga,SLL,33,2745,2,-,2,-,7.22
2595,Jordi Alba,2017/2018,Barcelona,Europe-UEFA-Champions-League,UCL,8,638,-,-,-,-,6.78
2596,Jordi Alba,2016/2017,Barcelona,Spain-La-Liga,SLL,26,1966,1,-,1,-,6.91
2597,Jordi Alba,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,6,436,-,-,-,-,6.8
2598,Jordi Alba,2015/2016,Barcelona,Spain-La-Liga,SLL,31,2591,-,-,-,-,7.05
2599,Jordi Alba,2015/2016,Barcelona,Europe-UEFA-Champions-League,UCL,9,735,-,-,-,-,6.87
2600,Jordi Alba,2014/2015,Barcelona,Spain-La-Liga,SLL,27,2335,1,1,-,-,7.22
2601,Jordi Alba,2014/2015,Barcelona,Europe-UEFA-Champions-League,UCL,11,962,-,-,-,-,7.17
2602,Jordi Alba,2016,Spain,International-European-Championship,UEC,4,351,-,-,-,-,6.39
2603,Jordi Alba,2013/2014,Barcelona,Spain-La-Liga,SLL,15,1202,-,-,-,-,7.08
2604,Jordi Alba,2013/2014,Barcelona,Europe-UEFA-Champions-League,UCL,4,360,-,-,-,-,7.18
2605,Jordi Alba,2014,Spain,International-FIFA-World-Cup,WC,3,270,-,-,-,-,6.72
2606,Jordi Alba,2013,Spain,International-Confederations-Cup,ICC,4,360,2,-,2,-,7.47
2607,Jordi Alba,2012/2013,Barcelona,Spain-La-Liga,SLL,29,2500,3,-,3,-,7.18
2608,Jordi Alba,2012/2013,Barcelona,Europe-UEFA-Champions-League,UCL,9,807,2,1,1,-,7.13
2609,Jordi Alba,2012,Spain,International-European-Championship,UEC,6,540,1,-,1,-,7.44
2610,Jordi Alba,2011/2012,Valencia,Spain-La-Liga,SLL,32,2541,2,-,2,-,7.01
2611,Jordi Alba,2011/2012,Valencia,Europe-UEFA-Champions-League,UCL,4,226,-,-,-,-,6.51
2612,Jordi Alba,2010/2011,Valencia,Spain-La-Liga,SLL,27,1412,2,-,2,-,6.89
2613,Jordi Alba,2010/2011,Valencia,Europe-UEFA-Champions-League,UCL,3,170,-,-,-,-,6.98
2614,Jordi Alba,2009/2010,Valencia,Spain-La-Liga,SLL,15,1125,1,-,1,-,7.29
2615,Diego Costa,2017/2018,Atletico Madr..,Spain-La-Liga,SLL,15,1048,3,-,3,-,6.84
2616,Diego Costa,2017/2018,Atletico Madr..,Europe-UEFA-Europa-League,UEL,5,387,2,1,1,-,7.29
2617,Diego Costa,2016/2017,Chelsea,England-Premier-League,EPL,35,3090,20,5,13,2,7.41
2618,Diego Costa,2015/2016,Chelsea,Europe-UEFA-Champions-League,UCL,8,663,2,-,2,-,7.41
2619,Diego Costa,2015/2016,Chelsea,England-Premier-League,EPL,28,2379,12,5,7,-,7.08
2620,Diego Costa,2014/2015,Chelsea,Europe-UEFA-Champions-League,UCL,7,478,-,-,-,-,6.67
2621,Diego Costa,2014/2015,Chelsea,England-Premier-League,EPL,26,2085,20,4,16,-,7.43
2622,Diego Costa,2013/2014,Atletico Madr..,Spain-La-Liga,SLL,35,2965,27,5,21,1,7.4
2623,Diego Costa,2013/2014,Atletico Madr..,Europe-UEFA-Champions-League,UCL,9,583,8,1,7,-,7.6
2624,Diego Costa,2014,Spain,International-FIFA-World-Cup,WC,2,126,-,-,-,-,6.17
2625,Diego Costa,2012/2013,Atletico Madr..,Spain-La-Liga,SLL,31,2061,10,7,3,-,6.98
2626,Diego Costa,2012/2013,Atletico Madr..,Europe-UEFA-Europa-League,UEL,5,378,2,1,1,-,6.77
2627,Diego Costa,2011/2012,Rayo Vallecan..,Spain-La-Liga,SLL,16,1320,10,1,9,-,7.18
2628,Diego Costa,2010/2011,Atletico Madr..,Spain-La-Liga,SLL,28,1327,6,1,5,-,6.61
2629,Diego Costa,2009/2010,Valladolid,Spain-La-Liga,SLL,34,2894,8,-,8,-,6.93
2630,Toby Alderweireld,2017/2018,Tottenham,Europe-UEFA-Champions-League,UCL,4,294,-,-,-,-,7.0
2631,Toby Alderweireld,2017/2018,Tottenham,England-Premier-League,EPL,14,1177,-,-,-,-,6.68
2632,Toby Alderweireld,2016/2017,Tottenham,Europe-UEFA-Champions-League,UCL,3,202,1,-,1,-,7.07
2633,Toby Alderweireld,2016/2017,Tottenham,England-Premier-League,EPL,30,2604,1,-,1,-,7.0
2634,Toby Alderweireld,2016/2017,Tottenham,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,6.68
2635,Toby Alderweireld,2015/2016,Tottenham,Europe-UEFA-Europa-League,UEL,10,900,-,-,-,-,7.01
2636,Toby Alderweireld,2015/2016,Tottenham,England-Premier-League,EPL,38,3420,4,2,2,-,7.16
2637,Toby Alderweireld,2014/2015,Southampton,England-Premier-League,EPL,26,2263,1,-,1,-,7.07
2638,Toby Alderweireld,2016,Belgium,International-European-Championship,UEC,5,450,1,-,1,-,7.11
2639,Toby Alderweireld,2013/2014,Atletico Madr..,Spain-La-Liga,SLL,12,906,1,-,1,-,6.87
2640,Toby Alderweireld,2013/2014,Atletico Madr..,Europe-UEFA-Champions-League,UCL,4,277,1,-,1,-,6.96
2641,Toby Alderweireld,2013/2014,Ajax,Netherlands-Eredivisie,NE,4,360,-,-,-,-,6.94
2642,Toby Alderweireld,2014,Belgium,International-FIFA-World-Cup,WC,4,360,-,-,-,-,7.05
2643,Toby Alderweireld,2012/2013,Ajax,Europe-UEFA-Europa-League,UEL,2,180,1,1,-,-,7.78
2644,Toby Alderweireld,2012/2013,Ajax,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.72
2645,Toby Alderweireld,2011/2012,Ajax,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,7.18
2646,Toby Alderweireld,2010/2011,Ajax,Europe-UEFA-Champions-League,UCL,5,450,2,-,1,1,7.06
2647,Óscar Duarte,2017/2018,Espanyol,Spain-La-Liga,SLL,11,990,-,-,-,-,6.62
2648,Óscar Duarte,2016/2017,Espanyol,Spain-La-Liga,SLL,15,1124,-,-,-,-,6.45
2649,Óscar Duarte,2015/2016,Espanyol,Spain-La-Liga,SLL,14,1196,1,1,-,-,6.74
2650,Óscar Duarte,2015/2016,Club Bruges,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,6.19
2651,Óscar Duarte,2014/2015,Club Bruges,Europe-UEFA-Europa-League,UEL,11,990,-,-,-,-,7.23
2652,Óscar Duarte,2014,Costa Rica,International-FIFA-World-Cup,WC,4,336,1,1,-,-,7.06
2653,Jérôme Boateng,2017/2018,Bayern Munich,Germany-Bundesliga,GB,19,1644,1,1,-,-,7.14
2654,Jérôme Boateng,2017/2018,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,677,-,-,-,-,6.78
2655,Jérôme Boateng,2016/2017,Bayern Munich,Germany-Bundesliga,GB,13,828,-,-,-,-,6.73
2656,Jérôme Boateng,2016/2017,Bayern Munich,Europe-UEFA-Champions-League,UCL,6,480,-,-,-,-,6.66
2657,Jérôme Boateng,2015/2016,Bayern Munich,Germany-Bundesliga,GB,19,1353,-,-,-,-,6.96
2658,Jérôme Boateng,2015/2016,Bayern Munich,Europe-UEFA-Champions-League,UCL,7,537,-,-,-,-,6.98
2659,Jérôme Boateng,2014/2015,Bayern Munich,Germany-Bundesliga,GB,27,2140,-,-,-,-,7.26
2660,Jérôme Boateng,2014/2015,Bayern Munich,Europe-UEFA-Champions-League,UCL,11,990,3,1,2,-,7.32
2661,Jérôme Boateng,2016,Germany,International-European-Championship,UEC,6,478,1,-,-,1,7.09
2662,Jérôme Boateng,2013/2014,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,762,-,-,-,-,6.69
2663,Jérôme Boateng,2013/2014,Bayern Munich,Germany-Bundesliga,GB,25,2169,1,-,1,-,7.28
2664,Jérôme Boateng,2014,Germany,International-FIFA-World-Cup,WC,7,587,-,-,-,-,7.11
2665,Jérôme Boateng,2012/2013,Bayern Munich,Germany-Bundesliga,GB,26,2245,2,-,2,-,7.17
2666,Jérôme Boateng,2012/2013,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,735,-,-,-,-,6.99
2667,Jérôme Boateng,2012,Germany,International-European-Championship,UEC,4,341,-,-,-,-,7.1
2668,Jérôme Boateng,2011/2012,Bayern Munich,Germany-Bundesliga,GB,27,2183,-,-,-,-,7.14
2669,Jérôme Boateng,2011/2012,Bayern Munich,Europe-UEFA-Champions-League,UCL,13,1170,-,-,-,-,7.06
2670,Jérôme Boateng,2010/2011,Manchester Ci..,England-Premier-League,EPL,16,1239,-,-,-,-,6.91
2671,Jérôme Boateng,2009/2010,Hamburger SV,Germany-Bundesliga,GB,27,2156,-,-,-,-,6.91
2672,Domagoj Vida,2017/2018,Besiktas,Turkey-Super-Lig,TS,13,751,1,-,1,-,6.76
2673,Domagoj Vida,2017/2018,Dynamo Kyiv,Europe-UEFA-Europa-League,UEL,4,350,-,-,-,-,7.03
2674,Domagoj Vida,2017/2018,Besiktas,Europe-UEFA-Champions-League,UCL,1,16,-,-,-,-,5.53
2675,Domagoj Vida,2016/2017,Dynamo Kyiv,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.7
2676,Domagoj Vida,2015/2016,Dynamo Kyiv,Europe-UEFA-Champions-League,UCL,5,372,-,-,-,-,6.71
2677,Domagoj Vida,2014/2015,Dynamo Kyiv,Europe-UEFA-Europa-League,UEL,10,876,1,-,1,-,6.86
2678,Domagoj Vida,2016,Croatia,International-European-Championship,UEC,3,270,-,-,-,-,6.64
2679,Domagoj Vida,2013/2014,Dynamo Kyiv,Europe-UEFA-Europa-League,UEL,3,211,-,-,-,-,6.61
2680,Domagoj Vida,2012/2013,Dynamo Kyiv,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,7.3
2681,Domagoj Vida,2012/2013,Dinamo Zagreb,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,6.55
2682,Domagoj Vida,2012,Croatia,International-European-Championship,UEC,1,66,-,-,-,-,6.78
2683,Domagoj Vida,2011/2012,Dinamo Zagreb,Europe-UEFA-Champions-League,UCL,6,513,-,-,-,-,6.03
2684,Domagoj Vida,2010/2011,Bayer Leverku..,Germany-Bundesliga,GB,1,76,-,-,-,-,7.38
2685,Josip Pivaric,2017/2018,Dynamo Kyiv,Europe-UEFA-Europa-League,UEL,8,720,-,-,-,-,6.75
2686,Josip Pivaric,2016/2017,Dinamo Zagreb,Europe-UEFA-Champions-League,UCL,5,450,-,-,-,-,5.93
2687,Josip Pivaric,2015/2016,Dinamo Zagreb,Europe-UEFA-Champions-League,UCL,5,439,1,1,-,-,6.81
2688,Josip Pivaric,2014/2015,Dinamo Zagreb,Europe-UEFA-Europa-League,UEL,5,425,-,-,-,-,6.61
2689,Josip Pivaric,2013/2014,Dinamo Zagreb,Europe-UEFA-Europa-League,UEL,3,270,-,-,-,-,6.75
2690,Josip Pivaric,2012/2013,Dinamo Zagreb,Europe-UEFA-Champions-League,UCL,6,469,1,-,1,-,6.07
2691,Milan Badelj,2017/2018,Fiorentina,Italy-Serie-A,ISA,27,2355,2,-,2,-,7.12
2692,Milan Badelj,2016/2017,Fiorentina,Italy-Serie-A,ISA,33,2513,2,-,-,2,6.92
2693,Milan Badelj,2016/2017,Fiorentina,Europe-UEFA-Europa-League,UEL,6,514,-,-,-,-,7.46
2694,Milan Badelj,2015/2016,Fiorentina,Italy-Serie-A,ISA,27,2138,1,-,-,1,7.13
2695,Milan Badelj,2015/2016,Fiorentina,Europe-UEFA-Europa-League,UEL,7,406,-,-,-,-,6.61
2696,Milan Badelj,2014/2015,Fiorentina,Italy-Serie-A,ISA,21,1549,1,-,-,1,7.14
2697,Milan Badelj,2014/2015,Hamburger SV,Germany-Bundesliga,GB,2,180,-,-,-,-,7.15
2698,Milan Badelj,2014/2015,Fiorentina,Europe-UEFA-Europa-League,UEL,13,859,-,-,-,-,6.94
2699,Milan Badelj,2016,Croatia,International-European-Championship,UEC,4,360,-,-,-,-,7.09
2700,Milan Badelj,2013/2014,Hamburger SV,Germany-Bundesliga,GB,29,2411,1,-,-,1,7.5
2701,Milan Badelj,2012/2013,Hamburger SV,Germany-Bundesliga,GB,31,2506,1,-,1,-,7.49
2702,Milan Badelj,2011/2012,Dinamo Zagreb,Europe-UEFA-Champions-League,UCL,6,452,-,-,-,-,6.51
2703,Aron Gunnarsson,2017/2018,Cardiff,England-Championship,EC,20,1500,1,1,-,-,7.02
2704,Aron Gunnarsson,2016/2017,Cardiff,England-Championship,EC,40,3593,3,1,1,1,7.08
2705,Aron Gunnarsson,2015/2016,Cardiff,England-Championship,EC,28,1529,2,-,1,1,6.75
2706,Aron Gunnarsson,2014/2015,Cardiff,England-Championship,EC,45,3621,4,2,2,-,7.0
2707,Aron Gunnarsson,2016,Iceland,International-European-Championship,UEC,5,426,-,-,-,-,6.82
2708,Aron Gunnarsson,2013/2014,Cardiff,England-Premier-League,EPL,23,1540,1,1,-,-,6.5
2709,Fagner,2018,Corinthians,Brazil-Brasileirão,BSA,3,189,-,-,-,-,7.09
2710,Fagner,2017,Corinthians,Brazil-Brasileirão,BSA,31,2790,-,-,-,-,7.24
2711,Fagner,2016,Corinthians,Brazil-Brasileirão,BSA,33,2968,1,-,1,-,7.1
2712,Fagner,2015,Corinthians,Brazil-Brasileirão,BSA,26,2176,-,-,-,-,7.01
2713,Fagner,2014,Corinthians,Brazil-Brasileirão,BSA,35,2982,2,1,1,-,6.87
2714,Fagner,2013,Vasco da Gama,Brazil-Brasileirão,BSA,26,2098,-,-,-,-,6.81
2715,Fagner,2012/2013,Wolfsburg,Germany-Bundesliga,GB,26,2083,-,-,-,-,7.27
2716,Rodney Wallace,2018,New York City..,USA-Major-League-Soccer,UMLS,8,419,-,-,-,-,6.46
2717,Rodney Wallace,2017,New York City..,USA-Major-League-Soccer,UMLS,28,2082,4,3,1,-,6.92
2718,Rodney Wallace,2016,Sport Recife,Brazil-Brasileirão,BSA,24,1839,4,1,2,1,6.91
2719,Rodney Wallace,2015,Portland Timb..,USA-Major-League-Soccer,UMLS,37,2420,3,-,3,-,6.79
2720,Rodney Wallace,2014,Portland Timb..,USA-Major-League-Soccer,UMLS,17,1058,5,-,5,-,6.89
2721,Rodney Wallace,2013,Portland Timb..,USA-Major-League-Soccer,UMLS,31,2273,7,-,7,-,7.17
2722,Johan Venegas,2017,Minnesota Uni..,USA-Major-League-Soccer,UMLS,22,1229,2,-,2,-,6.34
2723,Johan Venegas,2016,Montreal Impa..,USA-Major-League-Soccer,UMLS,25,761,1,-,1,-,6.28
2724,Johan Venegas,2015,Montreal Impa..,USA-Major-League-Soccer,UMLS,14,769,2,-,1,1,6.39
2725,Marco Reus,2017/2018,Borussia Dort..,Germany-Bundesliga,GB,11,935,7,3,4,-,7.39
2726,Marco Reus,2017/2018,Borussia Dort..,Europe-UEFA-Europa-League,UEL,4,229,-,-,-,-,6.13
2727,Marco Reus,2016/2017,Borussia Dort..,Germany-Bundesliga,GB,17,1190,7,1,6,-,7.15
2728,Marco Reus,2016/2017,Borussia Dort..,Europe-UEFA-Champions-League,UCL,4,291,4,-,4,-,7.83
2729,Marco Reus,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,26,1927,12,2,9,1,7.2
2730,Marco Reus,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,10,744,5,1,4,-,7.4
2731,Marco Reus,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,20,1571,7,-,7,-,7.54
2732,Marco Reus,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,4,341,3,-,1,2,7.69
2733,Marco Reus,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,9,769,5,-,5,-,7.62
2734,Marco Reus,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,30,2221,16,-,14,2,7.91
2735,Marco Reus,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,32,2356,14,-,10,4,7.61
2736,Marco Reus,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,13,1079,4,-,4,-,7.51
2737,Marco Reus,2012,Germany,International-European-Championship,UEC,2,125,1,-,1,-,7.24
2738,Marco Reus,2011/2012,Borussia M.Gl..,Germany-Bundesliga,GB,32,2782,18,-,15,3,7.99
2739,Marco Reus,2010/2011,Borussia M.Gl..,Germany-Bundesliga,GB,32,2857,10,-,5,5,7.35
2740,Marco Reus,2009/2010,Borussia M.Gl..,Germany-Bundesliga,GB,33,2471,8,1,6,1,7.14
2741,Nils Petersen,2017/2018,Freiburg,Germany-Bundesliga,GB,32,2240,15,4,10,1,6.95
2742,Nils Petersen,2016/2017,Freiburg,Germany-Bundesliga,GB,33,1233,10,4,5,1,6.69
2743,Nils Petersen,2015/2016,Freiburg,Germany-Bundesliga-II,GB2,32,2333,21,5,15,1,7.42
2744,Nils Petersen,2014/2015,Werder Bremen,Germany-Bundesliga,GB,7,222,-,-,-,-,6.38
2745,Nils Petersen,2014/2015,Freiburg,Germany-Bundesliga,GB,12,507,9,2,7,-,7.08
2746,Nils Petersen,2013/2014,Werder Bremen,Germany-Bundesliga,GB,28,1637,8,3,3,2,6.87
2747,Nils Petersen,2012/2013,Werder Bremen,Germany-Bundesliga,GB,34,2749,11,4,7,-,7.0
2748,Nils Petersen,2011/2012,Bayern Munich,Germany-Bundesliga,GB,9,228,2,1,1,-,6.49
2749,Nils Petersen,2011/2012,Bayern Munich,Europe-UEFA-Champions-League,UCL,3,127,-,-,-,-,6.3
2750,Miguel Layún,2017/2018,Sevilla,Spain-La-Liga,SLL,16,1181,2,-,2,-,6.73
2751,Miguel Layún,2017/2018,FC Porto,Portugal-Liga-NOS,PLN,7,259,-,-,-,-,6.37
2752,Miguel Layún,2017/2018,FC Porto,Europe-UEFA-Champions-League,UCL,2,109,1,-,1,-,7.13
2753,Miguel Layún,2016/2017,FC Porto,Portugal-Liga-NOS,PLN,16,1079,1,-,-,1,7.14
2754,Miguel Layún,2016/2017,FC Porto,Europe-UEFA-Champions-League,UCL,6,432,1,-,-,1,6.76
2755,Miguel Layún,2015/2016,FC Porto,Europe-UEFA-Europa-League,UEL,2,180,-,-,-,-,6.65
2756,Miguel Layún,2015/2016,FC Porto,Europe-UEFA-Champions-League,UCL,6,460,1,-,1,-,7.59
2757,Miguel Layún,2015/2016,Watford,England-Premier-League,EPL,3,132,1,-,1,-,6.66
2758,Miguel Layún,2014/2015,Watford,England-Championship,EC,17,1169,-,-,-,-,6.49
2759,Miguel Layún,2014,Mexico,International-FIFA-World-Cup,WC,4,360,-,-,-,-,6.77
2760,Miguel Layún,2009/2010,Atalanta,Italy-Serie-A,ISA,2,31,-,-,-,-,6.51
2761,Carlos Vela,2018,Los Angeles F..,USA-Major-League-Soccer,UMLS,12,1080,7,-,5,2,7.79
2762,Carlos Vela,2017/2018,Real Sociedad,Spain-La-Liga,SLL,13,375,1,1,-,-,6.53
2763,Carlos Vela,2017/2018,Real Sociedad,Europe-UEFA-Europa-League,UEL,2,118,-,-,-,-,7.26
2764,Carlos Vela,2016/2017,Real Sociedad,Spain-La-Liga,SLL,35,2562,9,3,6,-,7.07
2765,Carlos Vela,2015/2016,Real Sociedad,Spain-La-Liga,SLL,35,2765,5,2,2,1,6.81
2766,Carlos Vela,2014/2015,Real Sociedad,Spain-La-Liga,SLL,29,2061,9,1,6,2,6.85
2767,Carlos Vela,2013/2014,Real Sociedad,Spain-La-Liga,SLL,37,3116,15,1,12,2,7.42
2768,Carlos Vela,2013/2014,Real Sociedad,Europe-UEFA-Champions-League,UCL,6,525,1,1,-,-,6.39
2769,Carlos Vela,2012/2013,Real Sociedad,Spain-La-Liga,SLL,35,2715,14,2,12,-,7.4
2770,Carlos Vela,2011/2012,Real Sociedad,Spain-La-Liga,SLL,35,2488,12,1,9,2,7.09
2771,Carlos Vela,2010/2011,Arsenal,Europe-UEFA-Champions-League,UCL,4,87,2,-,2,-,6.56
2772,Carlos Vela,2010/2011,Arsenal,England-Premier-League,EPL,4,60,1,-,1,-,6.36
2773,Carlos Vela,2010/2011,West Bromwich..,England-Premier-League,EPL,8,317,2,-,2,-,6.61
2774,Carlos Vela,2009/2010,Arsenal,Europe-UEFA-Champions-League,UCL,4,209,-,-,-,-,6.34
2775,Carlos Vela,2009/2010,Arsenal,England-Premier-League,EPL,11,227,1,-,1,-,6.3
2776,Lee Chung-yong,2017/2018,Crystal Palac..,England-Premier-League,EPL,7,132,-,-,-,-,5.98
2777,Lee Chung-yong,2016/2017,Crystal Palac..,England-Premier-League,EPL,15,466,-,-,-,-,6.27
2778,Lee Chung-yong,2015/2016,Crystal Palac..,England-Premier-League,EPL,13,387,1,-,-,1,6.4
2779,Lee Chung-yong,2014/2015,Bolton,England-Championship,EC,23,1987,3,-,3,-,6.99
2780,Lee Chung-yong,2014/2015,Crystal Palac..,England-Premier-League,EPL,3,91,-,-,-,-,5.74
2781,Lee Chung-yong,2013/2014,Bolton,England-Championship,EC,45,2959,3,-,2,1,6.83
2782,Lee Chung-yong,2014,South Korea,International-FIFA-World-Cup,WC,3,244,-,-,-,-,6.87
2783,Lee Chung-yong,2011/2012,Bolton,England-Premier-League,EPL,2,17,-,-,-,-,6.07
2784,Lee Chung-yong,2010/2011,Bolton,England-Premier-League,EPL,31,2201,3,-,2,1,6.93
2785,Lee Chung-yong,2009/2010,Bolton,England-Premier-League,EPL,34,2414,4,1,3,-,7.0
2786,Koo Ja-cheol,2017/2018,Augsburg,Germany-Bundesliga,GB,28,2051,2,-,2,-,6.68
2787,Koo Ja-cheol,2016/2017,Augsburg,Germany-Bundesliga,GB,23,1817,2,-,2,-,6.7
2788,Koo Ja-cheol,2015/2016,Mainz 05,Germany-Bundesliga,GB,2,17,-,-,-,-,6.08
2789,Koo Ja-cheol,2015/2016,Augsburg,Germany-Bundesliga,GB,27,2081,8,3,5,-,7.2
2790,Koo Ja-cheol,2015/2016,Augsburg,Europe-UEFA-Europa-League,UEL,8,404,-,-,-,-,6.56
2791,Koo Ja-cheol,2014/2015,Mainz 05,Germany-Bundesliga,GB,23,1487,5,-,5,-,7.04
2792,Koo Ja-cheol,2013/2014,Wolfsburg,Germany-Bundesliga,GB,10,594,-,-,-,-,6.45
2793,Koo Ja-cheol,2013/2014,Mainz 05,Germany-Bundesliga,GB,14,757,1,-,1,-,7.08
2794,Koo Ja-cheol,2014,South Korea,International-FIFA-World-Cup,WC,3,270,1,1,-,-,6.79
2795,Koo Ja-cheol,2012/2013,Augsburg,Germany-Bundesliga,GB,21,1601,3,1,1,1,7.12
2796,Koo Ja-cheol,2011/2012,Augsburg,Germany-Bundesliga,GB,15,1251,5,-,2,3,7.23
2797,Koo Ja-cheol,2011/2012,Wolfsburg,Germany-Bundesliga,GB,12,569,-,-,-,-,6.43
2798,Koo Ja-cheol,2010/2011,Wolfsburg,Germany-Bundesliga,GB,10,299,-,-,-,-,6.36
2799,Jimmy Durmaz,2017/2018,Toulouse,France-Ligue-1,FL1,20,1032,3,-,3,-,6.61
2800,Jimmy Durmaz,2016/2017,Toulouse,France-Ligue-1,FL1,27,1525,2,-,2,-,6.51
2801,Jimmy Durmaz,2015/2016,Olympiacos,Europe-UEFA-Europa-League,UEL,2,135,-,-,-,-,6.79
