,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Aerial_Duels,Won,Lost,Rating,Total_Shots,OutOfBox,SixYardBox,PenaltyArea,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total_Dribbles,UnsuccessfulTouches,Dispossessed,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interceptions,Fouled,Fouls,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,Saves_In_SixYardBox,Saves_In_PenaltyArea,Saves_From_OutOfBox,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key_Passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
48,Nabil Dirar,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,3,114,2,-,2,6.57,3,2,1,-,-,-,-,-,3,1,4,1,4,3,-,3,4,4,2,1,-,-,1,2,-,-,-,-,-,-,49,1,1,41,6,2,1,1,1,-,-,-,-,-,1
49,Nabil Dirar,2015/2016,Monaco,France-Ligue-1,FL1,20,1559,62,28,34,7.2,20,6,2,12,2,1,1,-,19,37,56,45,40,40,8,48,20,28,35,2,1,4,14,-,3,18,-,-,-,-,623,14,26,442,141,30,8,22,4,-,1,-,-,4,9
50,Nabil Dirar,2014/2015,Monaco,Europe-UEFA-Champions-League,UCL,9,603,23,9,14,6.75,4,3,-,1,-,-,-,-,10,6,16,16,18,15,6,21,11,14,21,1,-,4,7,-,-,19,-,-,-,-,227,6,2,178,41,9,1,8,1,-,-,-,-,-,1
51,Nabil Dirar,2014/2015,Monaco,France-Ligue-1,FL1,27,1275,45,21,24,6.55,12,4,1,7,2,1,1,-,17,17,34,26,27,36,14,50,12,25,28,3,1,1,16,2,3,16,-,-,-,-,587,14,15,444,114,18,2,16,1,-,-,-,-,1,2
52,Nabil Dirar,2013/2014,Monaco,France-Ligue-1,FL1,11,321,4,1,3,6.5,2,1,-,1,1,-,-,1,5,7,12,5,7,9,1,10,4,7,8,-,-,-,-,-,-,4,-,-,-,-,126,1,4,89,32,5,2,3,1,-,-,-,-,1,2
53,Jakub Błaszczykowski,2017/2018,Wolfsburg,Germany-Bundesliga,GB,9,521,17,9,8,6.56,1,-,-,1,1,-,1,-,8,6,14,5,13,12,7,19,5,8,4,-,-,-,3,3,-,8,-,-,-,-,178,11,5,121,41,7,-,7,-,-,-,-,-,-,-
54,Jakub Błaszczykowski,2016/2017,Wolfsburg,Germany-Bundesliga,GB,28,1693,32,15,17,6.71,11,7,-,4,-,-,-,-,23,12,35,22,15,56,22,78,56,34,24,2,-,2,32,1,6,18,-,-,-,-,755,40,42,536,137,19,5,14,1,-,-,-,-,-,1
55,Jakub Błaszczykowski,2015/2016,Fiorentina,Italy-Serie-A,ISA,15,761,4,1,3,6.56,8,4,1,3,2,1,1,-,10,4,14,13,10,17,11,28,14,12,6,1,-,2,4,-,3,14,-,-,-,-,416,5,16,335,60,12,-,12,-,-,-,-,-,1,1
56,Jakub Błaszczykowski,2015/2016,Fiorentina,Europe-UEFA-Europa-League,UEL,5,249,3,1,2,6.39,2,1,-,1,-,-,-,-,-,-,-,2,3,6,5,11,4,3,4,-,-,1,2,-,2,5,-,-,-,-,91,4,1,69,17,3,-,3,-,-,-,-,-,1,1
57,Jakub Błaszczykowski,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,13,599,15,4,11,6.67,7,3,-,4,-,-,-,-,9,17,26,8,6,12,12,24,11,16,7,-,-,-,5,2,-,4,-,-,-,-,311,7,13,227,64,15,4,11,-,-,-,-,-,-,-
58,Jakub Błaszczykowski,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,3,47,1,1,-,6.02,1,1,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,1,1,-,-,-,-,-,-,1,-,-,-,-,43,2,1,34,6,4,1,3,-,-,-,-,-,-,-
59,Jakub Błaszczykowski,2016,Poland,International-European-Championship,UEC,5,385,5,1,4,7.53,6,2,-,4,2,-,2,-,2,11,13,6,7,18,12,30,1,9,5,-,-,-,2,1,5,10,-,-,-,-,145,3,4,119,19,8,1,7,-,-,-,-,-,1,1
60,Jakub Błaszczykowski,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,343,12,5,7,6.74,7,2,1,4,1,-,1,-,1,5,6,8,11,8,4,12,9,5,10,-,-,-,7,-,1,4,-,-,-,-,139,4,2,95,38,3,-,3,-,-,-,-,-,-,-
61,Jakub Błaszczykowski,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,16,791,16,8,8,6.69,14,6,-,8,2,-,2,-,9,18,27,11,25,13,20,33,8,16,8,-,-,2,2,-,3,5,-,-,-,-,387,8,6,286,87,11,-,11,-,-,-,-,-,1,1
62,Jakub Błaszczykowski,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,27,1946,33,12,21,7.5,49,13,3,33,11,3,8,-,36,40,76,21,44,63,21,84,23,45,23,1,-,5,9,-,7,-,-,-,-,-,834,21,9,669,135,40,6,34,2,-,1,-,-,7,10
63,Jakub Błaszczykowski,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,10,714,7,2,5,6.74,14,4,1,9,1,1,-,-,9,11,20,9,8,16,9,25,7,13,7,1,-,1,8,2,2,-,-,-,-,-,277,2,6,202,67,8,1,7,1,-,-,-,-,-,1
64,Jakub Błaszczykowski,2012,Poland,International-European-Championship,UEC,3,270,8,5,3,7.24,6,2,-,4,1,-,-,1,2,5,7,6,5,3,4,7,3,7,5,1,-,-,1,-,-,-,-,-,-,-,78,1,-,59,18,4,1,3,1,-,-,-,-,-,1
65,Jakub Błaszczykowski,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,29,1988,31,15,16,7.51,39,11,-,28,6,-,5,1,36,53,89,31,33,62,47,109,40,43,25,-,-,14,12,-,4,-,-,-,-,-,757,16,24,569,148,55,11,44,2,-,-,1,-,6,9
66,Jakub Błaszczykowski,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,176,5,1,4,6.6,7,4,-,3,1,-,1,-,4,4,8,4,4,7,4,11,5,3,4,-,-,2,2,-,-,-,-,-,-,-,95,1,-,67,27,3,-,3,-,-,-,-,-,-,-
67,Jakub Błaszczykowski,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,29,1544,13,6,7,6.82,36,15,1,20,3,1,2,-,21,15,36,24,29,49,23,72,24,35,26,-,-,8,4,-,3,-,-,-,-,-,523,17,9,373,124,18,5,13,1,-,-,-,-,1,2
68,Jakub Błaszczykowski,2009/2010,Borussia Dort..,Germany-Bundesliga,GB,32,2407,23,6,17,7.22,32,14,1,17,1,-,1,-,54,48,102,-,50,91,43,134,53,47,40,4,-,5,16,1,8,-,-,-,-,-,809,21,21,583,184,39,11,28,1,-,-,-,-,3,4
69,Román Torres,2018,Seattle Sound..,USA-Major-League-Soccer,UMLS,5,390,16,11,5,6.24,5,1,2,2,-,-,-,-,-,-,-,1,1,5,10,15,5,1,3,1,-,-,11,1,-,1,-,-,-,-,205,14,28,138,25,-,-,-,-,-,-,-,-,-,-
70,Román Torres,2017,Seattle Sound..,USA-Major-League-Soccer,UMLS,27,2148,79,58,21,6.77,22,5,4,13,-,-,-,-,-,2,2,10,4,33,9,42,33,8,30,6,1,1,112,13,2,6,-,-,-,-,969,112,133,640,84,6,-,6,1,-,-,-,-,1,2
71,Román Torres,2016,Seattle Sound..,USA-Major-League-Soccer,UMLS,13,1125,41,27,14,6.86,12,3,2,7,-,-,-,-,-,2,2,6,2,18,6,24,26,6,12,2,-,1,44,8,1,2,-,-,-,-,510,70,82,302,56,2,1,1,-,-,-,-,-,-,-
72,Román Torres,2015,Seattle Sound..,USA-Major-League-Soccer,UMLS,4,315,11,4,7,7.18,2,-,-,2,-,-,-,-,-,1,1,2,-,6,5,11,17,4,4,-,-,-,16,1,-,-,-,-,-,-,120,16,10,82,12,2,1,1,-,-,-,-,-,1,1
73,Cheikh N'Doye,2017/2018,Birmingham,England-Championship,EC,37,2391,336,195,141,6.57,45,12,-,33,-,-,-,-,1,10,11,26,28,25,31,56,30,27,52,5,1,2,65,13,1,15,-,-,-,-,881,33,49,520,279,16,-,16,-,-,-,-,-,1,1
74,Cheikh N'Doye,2016/2017,Angers,France-Ligue-1,FL1,33,2911,400,269,131,7.34,88,23,4,61,5,1,4,-,7,10,17,60,47,54,27,81,27,34,64,5,1,1,71,14,1,22,-,-,-,-,1221,40,42,763,376,48,-,48,-,-,-,-,-,5,5
75,Cheikh N'Doye,2015/2016,Angers,France-Ligue-1,FL1,32,2775,329,220,109,7.32,68,21,4,43,9,3,6,-,27,18,45,37,58,61,24,85,34,46,73,5,2,2,91,9,1,23,-,-,-,-,1132,27,44,720,341,24,2,22,-,-,-,-,-,4,4
76,Soslan Dzhanayev,2017/2018,Rubin Kazan,Russia-Premier-League,RPL,18,1613,4,4,-,6.84,-,-,-,-,-,-,-,-,-,1,1,-,-,2,-,2,2,3,-,-,-,-,5,-,-,-,42,2,27,13,403,95,202,106,-,-,-,-,-,-,-,-,-,-,-
77,Soslan Dzhanayev,2016/2017,FC Rostov,Russia-Premier-League,RPL,13,1170,2,2,-,6.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,5,-,-,1,34,2,22,10,305,89,171,44,1,-,-,-,-,-,-,-,-,-,-
78,Soslan Dzhanayev,2016/2017,FC Rostov,Europe-UEFA-Champions-League,UCL,6,540,1,1,-,6.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,1,-,-,-,28,1,16,11,162,57,98,7,-,-,-,-,-,-,-,-,-,-,-
79,Soslan Dzhanayev,2015/2016,FC Rostov,Russia-Premier-League,RPL,30,2700,11,10,1,6.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,-,2,-,-,23,-,-,-,70,4,36,30,673,194,384,91,4,-,-,-,-,-,-,-,-,-,-
80,Krzysztof Mączyński,2016,Poland,,UEC,4,334,12,7,5,6.51,6,5,-,1,-,-,-,-,1,-,1,2,4,7,5,12,3,3,6,1,-,-,3,1,1,3,-,-,-,-,150,4,6,123,17,-,-,-,-,-,-,-,-,-,-
81,Bartosz Białkowski,2017/2018,Ipswich,England-Championship,EC,45,4050,22,22,-,6.79,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,1,6,-,-,-,-,46,-,-,-,153,9,75,69,1326,396,754,173,3,-,-,-,-,-,-,-,-,-,-
82,Bartosz Białkowski,2016/2017,Ipswich,England-Championship,EC,44,3960,10,9,1,6.58,-,-,-,-,-,-,-,-,-,1,1,2,-,-,3,3,1,5,2,-,-,-,39,-,-,-,124,4,65,55,1297,380,831,86,-,-,-,-,-,-,-,-,-,-,-
83,Bartosz Białkowski,2015/2016,Ipswich,England-Championship,EC,20,1800,1,1,-,6.96,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,19,-,-,-,70,4,40,26,702,211,462,28,1,-,-,-,-,-,-,-,-,-,-
84,Bartosz Białkowski,2014/2015,Ipswich,England-Championship,EC,33,2960,7,5,2,6.43,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,4,-,-,-,-,21,-,-,-,73,3,42,28,1054,382,636,36,-,3,3,-,-,-,-,-,-,-,-
85,Shinji Kagawa,2017/2018,Borussia Dort..,Germany-Bundesliga,GB,19,1166,17,2,15,6.81,24,5,3,16,5,2,3,-,15,9,24,24,12,32,9,41,6,17,9,-,-,1,2,-,-,6,-,-,-,-,727,34,18,602,73,22,5,17,-,-,-,-,-,1,1
86,Shinji Kagawa,2017/2018,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,402,4,3,1,6.73,11,4,-,7,-,-,-,-,3,5,8,12,4,3,3,6,3,3,1,-,-,1,1,-,-,3,-,-,-,-,242,13,8,201,20,10,3,7,-,-,1,-,-,1,2
87,Shinji Kagawa,2016/2017,Borussia Dort..,Germany-Bundesliga,GB,21,1259,25,12,13,6.82,20,5,2,13,1,-,1,-,10,18,28,32,19,11,8,19,11,25,16,3,-,3,14,1,1,7,-,-,-,-,681,26,13,555,87,35,2,33,-,-,1,-,-,5,6
88,Shinji Kagawa,2016/2017,Borussia Dort..,Europe-UEFA-Champions-League,UCL,5,369,5,1,4,7.35,6,1,1,4,3,1,2,-,-,7,7,4,7,2,4,6,2,8,4,-,-,1,1,-,-,2,-,-,-,-,209,15,2,169,23,6,-,6,-,-,-,-,-,2,2
